up
Upload #32
Reader: Noname  Site: AA
--------- upload 32 start ---------
E 2016-05-20 13:56:13.21 upload 31 complete
E 2016-05-20 13:58:14.16 supply power ok 12.3V
E 2016-05-20 13:58:14.16 database file opened
E 2016-05-20 13:58:14.16 starting reader after power up
D 2016-05-20 13:58:52.28 00:00:00.60 HR 0000_0000000181177678 A1    4   165
D 2016-05-20 13:58:59.93 00:00:01.21 HA      900_226000080333 A1    7    34
D 2016-05-20 14:00:49.65 00:00:00.00 HR 0000_0000000180843403 A1    1   538
D 2016-05-20 14:03:33.05 00:00:00.00 HR 0000_0000000180573731 A3    1  1559
D 2016-05-20 14:04:33.06 00:00:00.00 HA      900_226000080322 A3    1   297
D 2016-05-20 14:04:33.46 00:00:00.00 HA      900_226000080322 A3    1     1
D 2016-05-20 14:04:33.86 00:00:01.82 HA      900_226000080322 A3    5     1
D 2016-05-20 14:04:41.72 00:00:00.41 HA      900_226000080322 A3    3    34
D 2016-05-20 14:04:43.34 00:00:01.21 HA      900_226000080322 A3    7     5
D 2016-05-20 14:04:51.80 00:00:00.41 HA      900_226000080322 A3    3    35
D 2016-05-20 14:04:52.82 00:00:00.41 HA      900_226000080322 A3    3     2
D 2016-05-20 14:04:53.83 00:00:00.00 HA      900_226000080322 A3    1     2
D 2016-05-20 14:04:56.05 00:00:01.00 HA      900_226000080322 A3    6    10
D 2016-05-20 14:04:57.46 00:00:00.00 HA      900_226000080322 A3    1     1
D 2016-05-20 14:05:01.09 00:00:01.41 HA      900_226000080322 A3    8    17
D 2016-05-20 14:15:44.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-20 14:18:33.13 00:00:00.20 HR 0000_0000000180573731 A3    2  4025
D 2016-05-20 14:30:38.68 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-20 14:33:33.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-05-20 14:45:33.49 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-20 14:48:32.99 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-05-20 15:00:28.09 00:00:00.20 HR 0000_0000000180843403 A1    2  4442
D 2016-05-20 15:03:33.06 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-05-20 15:15:22.94 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-20 15:18:32.92 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-05-20 15:30:17.57 00:00:00.20 HR 0000_0000000180843403 A1    2  4442
D 2016-05-20 15:33:32.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-05-20 15:45:12.43 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-20 15:48:32.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2016-05-20 16:00:07.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-20 16:03:32.35 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2016-05-20 16:15:02.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-20 16:18:31.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2016-05-20 16:29:56.91 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-20 16:33:31.47 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
E 2016-05-20 16:34:00.01 12.2V 0.20A 0.81A 0.00A 0.86A 0.00A  0N  0N  0N  
D 2016-05-20 16:44:51.76 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
