up
Upload #24
Reader: Noname  Site: AA
--------- upload 24 start ---------
E 2016-05-02 14:29:39.52 upload 23 complete
E 2016-05-02 14:30:37.77 parameter change: mux sequence '13'
D 2016-05-02 18:27:25.77 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 18:33:02.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-02 18:42:20.73 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 18:48:00.11 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-02 18:57:15.70 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 19:02:57.29 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-02 19:12:10.48 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-02 19:17:54.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-05-02 19:27:05.62 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 19:32:52.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-02 19:42:00.62 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
E 2016-05-02 19:47:00.01 11.8V 0.20A 0.90A 0.00A 0.82A 0.00A  0N  0N  0N  
D 2016-05-02 19:47:49.06 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-02 20:02:46.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-02 20:11:50.47 00:00:00.00 HR 0000_0000000180843403 A1    1  8888
D 2016-05-02 20:17:42.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-02 20:26:45.56 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 20:32:39.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-02 20:41:40.45 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-02 20:47:36.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-02 20:56:35.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 21:02:33.65 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-02 21:11:30.57 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 21:17:30.32 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-02 21:26:25.63 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 21:32:27.20 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-02 21:41:20.68 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 21:47:23.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-02 22:02:20.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-02 22:11:10.59 00:00:00.00 HR 0000_0000000180843403 A1    1  8888
D 2016-05-02 22:17:17.36 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
E 2016-05-02 22:24:00.01 11.7V 0.20A 0.90A 0.00A 0.81A 0.00A  0N  0N  1N  
D 2016-05-02 22:26:05.63 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 22:32:14.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-02 22:41:00.69 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 22:47:10.71 00:00:00.20 HR 0000_0000000180573731 A3    2  4452
D 2016-05-02 22:55:55.57 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-02 23:02:07.39 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-05-02 23:10:50.63 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 23:17:04.04 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-02 23:25:45.66 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 23:32:00.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-02 23:40:40.48 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-02 23:46:57.73 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-02 23:55:35.71 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 00:01:54.38 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-03 00:10:30.55 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-03 00:16:51.20 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 00:25:25.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 00:31:47.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 00:40:20.32 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-03 00:46:44.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-03 00:55:15.34 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
E 2016-05-03 01:01:00.01 11.7V 0.20A 0.88A 0.00A 0.80A 0.00A  0N  0N  0N  
D 2016-05-03 01:01:41.23 00:00:00.20 HR 0000_0000000180573731 A3    2  4452
D 2016-05-03 01:10:10.14 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 01:16:38.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 01:25:04.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 01:31:35.21 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 01:39:59.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 01:46:32.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 01:54:54.65 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 02:01:28.96 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 02:09:49.41 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 02:16:25.76 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 02:31:22.72 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 02:39:39.32 00:00:00.00 HR 0000_0000000180843403 A1    1  8889
D 2016-05-03 02:46:19.49 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2016-05-03 02:54:34.30 00:00:00.20 HR 0000_0000000180843403 A1    2  4444
D 2016-05-03 03:01:16.45 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 03:09:29.26 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 03:16:13.25 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 03:24:24.24 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 03:31:10.03 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
E 2016-05-03 03:38:00.01 11.6V 0.20A 0.87A 0.00A 0.79A 0.00A  0N  0N  1N  
D 2016-05-03 03:39:18.97 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 03:46:06.80 00:00:00.21 HR 0000_0000000180573731 A3    2  4453
D 2016-05-03 03:54:13.89 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 04:01:03.91 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 04:09:08.67 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 04:16:00.72 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 04:24:03.64 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 04:30:57.52 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 04:38:58.61 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 04:45:54.46 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 04:53:53.36 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-03 05:00:51.46 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 05:08:48.36 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 05:15:48.25 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 05:23:43.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 05:30:44.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 05:38:38.00 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 05:45:41.91 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 05:53:32.93 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 06:00:38.65 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 06:08:27.63 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
E 2016-05-03 06:15:00.01 11.6V 0.20A 0.84A 0.00A 0.79A 0.00A  0N  0N  1N  
D 2016-05-03 06:15:35.35 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 06:23:22.54 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 06:30:32.07 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 06:38:17.44 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 06:45:28.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 06:53:12.35 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 07:00:25.48 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 07:08:07.41 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 07:15:22.17 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 07:23:02.27 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 07:30:18.83 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 07:37:57.16 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 07:45:15.53 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2016-05-03 07:52:52.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 08:00:12.63 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 08:07:47.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 08:15:09.34 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 08:22:42.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 08:30:06.01 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 08:37:37.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 08:45:02.90 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
E 2016-05-03 08:52:00.01 11.5V 0.20A 0.84A 0.00A 0.79A 0.00A  1N  0N  2N  
D 2016-05-03 08:52:32.16 00:00:00.20 HR 0000_0000000180843403 A1    2  4444
D 2016-05-03 08:59:59.78 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 09:07:27.42 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 09:14:56.69 00:00:00.20 HR 0000_0000000180573731 A3    2  4454
D 2016-05-03 09:22:22.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 09:29:53.59 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2016-05-03 09:37:17.63 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-05-03 09:44:50.52 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 09:52:12.76 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 09:59:47.25 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2016-05-03 10:07:07.85 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-05-03 10:14:44.37 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 10:22:02.97 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 10:29:41.29 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 10:36:58.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 10:44:38.44 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-03 10:51:53.23 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 10:59:35.60 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-03 11:06:48.34 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 11:14:32.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 11:21:43.32 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
E 2016-05-03 11:29:00.01 11.5V 0.20A 0.83A 0.00A 0.78A 0.00A  0N  0N  1N  
D 2016-05-03 11:29:29.92 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-03 11:36:38.48 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 11:44:27.30 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-03 11:51:33.65 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 11:59:24.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-03 12:06:28.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 12:14:22.11 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2016-05-03 12:21:24.02 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
