up40
Upload #40, 860 records
Reader: Noname  Site: AA
--------- upload 40 start ---------
E 2016-03-18 10:46:10.89 upload 39 complete
E 2016-03-18 10:47:27.34 parameter change: mux sequence '1'
D 2016-03-18 11:09:20.37 00:00:00.00 HR 0000_0000000180843440 A3    1     2
D 2016-03-18 11:09:27.41 00:00:00.00 HR 0000_0000000180843440 A3    1    29
D 2016-03-18 11:09:27.81 00:00:00.00 HR 0000_0000000180843440 A3    1     1
D 2016-03-18 11:11:03.15 00:00:00.00 HR 0000_0000000180598569 A1    1  1242
D 2016-03-18 11:24:24.24 00:00:00.00 HR 0000_0000000180843440 A3    1  4451
D 2016-03-18 11:25:59.58 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2016-03-18 11:39:21.48 00:00:00.00 HR 0000_0000000180843440 A3    1  4455
D 2016-03-18 11:40:56.22 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 11:54:19.07 00:00:00.20 HR 0000_0000000180843440 A3    2  4457
D 2016-03-18 11:55:52.79 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 12:09:16.23 00:00:00.00 HR 0000_0000000180843440 A3    1  4454
D 2016-03-18 12:10:49.36 00:00:00.20 HR 0000_0000000180598569 A1    2  4452
D 2016-03-18 12:24:13.85 00:00:00.00 HR 0000_0000000180843440 A3    1  4457
D 2016-03-18 12:25:45.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 12:39:11.52 00:00:00.00 HR 0000_0000000180843440 A3    1  4457
D 2016-03-18 12:40:42.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 12:54:08.52 00:00:00.00 HR 0000_0000000180843440 A3    1  4454
D 2016-03-18 12:55:39.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 13:09:04.56 00:00:00.00 HR 0000_0000000180843440 A3    1  4449
D 2016-03-18 13:10:35.69 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 13:24:00.79 00:00:00.00 HR 0000_0000000180843440 A3    1  4450
D 2016-03-18 13:25:32.31 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 13:38:57.21 00:00:00.00 HR 0000_0000000180843440 A3    1  4451
D 2016-03-18 13:40:28.91 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 13:53:53.24 00:00:00.00 HR 0000_0000000180843440 A3    1  4449
D 2016-03-18 13:55:25.35 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2016-03-18 14:08:49.45 00:00:00.00 HR 0000_0000000180843440 A3    1  4450
D 2016-03-18 14:10:21.96 00:00:00.21 HR 0000_0000000180598569 A1    2  4451
D 2016-03-18 14:23:45.68 00:00:00.00 HR 0000_0000000180843440 A3    1  4450
D 2016-03-18 14:25:18.61 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 14:38:42.09 00:00:00.00 HR 0000_0000000180843440 A3    1  4451
D 2016-03-18 14:40:15.22 00:00:00.20 HR 0000_0000000180598569 A1    2  4452
D 2016-03-18 14:53:38.30 00:00:00.00 HR 0000_0000000180843440 A3    1  4450
D 2016-03-18 14:55:12.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 15:08:33.89 00:00:00.00 HR 0000_0000000180843440 A3    1  4447
D 2016-03-18 15:10:08.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 15:23:29.66 00:00:00.00 HR 0000_0000000180843440 A3    1  4448
D 2016-03-18 15:25:05.20 00:00:00.20 HR 0000_0000000180598569 A1    2  4452
D 2016-03-18 15:38:25.26 00:00:00.20 HR 0000_0000000180843440 A3    2  4447
D 2016-03-18 15:40:01.80 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 15:53:20.85 00:00:00.00 HR 0000_0000000180843440 A3    1  4446
D 2016-03-18 15:54:58.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 16:08:16.05 00:00:00.00 HR 0000_0000000180843440 A3    1  4445
D 2016-03-18 16:09:55.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 16:23:10.83 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-03-18 16:24:51.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 16:38:05.43 00:00:00.00 HR 0000_0000000180843440 A3    1  4442
D 2016-03-18 16:39:48.01 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 16:53:00.21 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-03-18 16:54:44.41 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 17:07:54.81 00:00:00.00 HR 0000_0000000180843440 A3    1  4442
D 2016-03-18 17:09:41.02 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 17:22:49.42 00:00:00.00 HR 0000_0000000180843440 A3    1  4442
D 2016-03-18 17:24:37.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 17:37:43.85 00:00:00.00 HR 0000_0000000180843440 A3    1  4441
D 2016-03-18 17:39:33.88 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 17:52:37.83 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-03-18 17:54:30.29 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 18:07:32.07 00:00:00.20 HR 0000_0000000180843440 A3    2  4440
D 2016-03-18 18:09:26.73 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 18:22:26.24 00:00:00.20 HR 0000_0000000180843440 A3    2  4439
D 2016-03-18 18:24:23.14 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 18:37:20.08 00:00:00.00 HR 0000_0000000180843440 A3    1  4437
D 2016-03-18 18:39:19.58 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 18:52:14.11 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-03-18 18:54:15.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 19:07:08.09 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-03-18 19:09:12.04 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 19:22:01.92 00:00:00.00 HR 0000_0000000180843440 A3    1  4438
D 2016-03-18 19:24:08.28 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 19:36:55.79 00:00:00.00 HR 0000_0000000180843440 A3    1  4438
D 2016-03-18 19:39:04.55 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 19:51:49.65 00:00:00.00 HR 0000_0000000180843440 A3    1  4438
D 2016-03-18 19:54:00.83 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 20:06:43.49 00:00:00.00 HR 0000_0000000180843440 A3    1  4438
D 2016-03-18 20:08:57.11 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 20:21:37.01 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-18 20:23:53.43 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 20:36:30.66 00:00:00.00 HR 0000_0000000180843440 A3    1  4437
D 2016-03-18 20:38:49.91 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 20:51:24.14 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-18 20:53:46.21 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 21:06:17.78 00:00:00.00 HR 0000_0000000180843440 A3    1  4437
D 2016-03-18 21:08:42.46 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2016-03-18 21:21:11.29 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-18 21:23:38.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 21:36:04.78 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-18 21:38:35.31 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 21:50:58.25 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-18 21:53:31.78 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 22:05:51.73 00:00:00.20 HR 0000_0000000180843440 A3    2  4436
D 2016-03-18 22:08:28.07 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 22:20:45.36 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-18 22:23:24.35 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 22:35:38.62 00:00:00.20 HR 0000_0000000180843440 A3    2  4435
D 2016-03-18 22:38:20.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 22:50:31.91 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2016-03-18 22:53:17.15 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 23:05:25.25 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-18 23:08:13.50 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 23:20:18.75 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-18 23:23:09.82 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-18 23:35:11.84 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2016-03-18 23:38:06.15 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2016-03-18 23:50:05.20 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-18 23:53:02.71 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 00:04:58.71 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-19 00:07:59.05 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 00:19:52.06 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-19 00:22:55.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 00:34:45.57 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-19 00:37:51.74 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 00:49:39.11 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-19 00:52:48.09 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 01:04:32.41 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-19 01:07:44.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 01:19:25.75 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-19 01:22:40.78 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 01:34:18.89 00:00:00.21 HR 0000_0000000180843440 A3    2  4434
D 2016-03-19 01:37:37.16 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 01:49:12.40 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-19 01:52:33.49 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 02:04:05.70 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-19 02:07:29.79 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 02:18:58.98 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-19 02:22:26.10 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 02:33:52.24 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-19 02:37:22.36 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 02:48:45.50 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-19 02:52:18.65 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 03:03:38.57 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2016-03-19 03:07:15.14 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-19 03:18:31.62 00:00:00.20 HR 0000_0000000180843440 A3    2  4434
D 2016-03-19 03:22:11.43 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 03:33:24.71 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
D 2016-03-19 03:37:07.74 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
