up
Upload #51
Reader: Noname  Site: AA
--------- upload 51 start ---------
E 2016-04-18 12:23:39.06 upload 50 complete
E 2016-04-18 12:27:33.13 supply power ok 12.0V
E 2016-04-18 12:27:33.14 database file opened
E 2016-04-18 12:27:33.14 starting reader after power up
D 2016-04-18 12:27:58.62 00:00:00.40 HA      900_226000080333 A1    3    91
D 2016-04-18 12:27:59.42 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-04-18 12:28:01.44 00:00:00.40 HA      900_226000080333 A1    3     9
D 2016-04-18 12:28:02.24 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-04-18 12:28:02.25 00:00:01.81 HA      900_226000080333 A1    5     4
D 2016-04-18 12:28:04.46 00:00:00.40 HA      900_226000080333 A1    3     1
D 2016-04-18 12:28:05.26 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-04-18 12:28:12.91 00:00:01.01 HR 0000_0000000181177678 A1    6    36
D 2016-04-18 12:28:15.13 00:00:00.60 HR 0000_0000000181177678 A1    4     5
D 2016-04-18 12:28:38.99 00:00:00.00 HA      900_226000791719 A3    1   291
D 2016-04-18 12:28:40.80 00:00:01.42 HA      900_226000791719 A3    8     8
D 2016-04-18 12:28:43.62 00:00:00.41 HA      900_226000791719 A3    3     6
D 2016-04-18 12:28:45.24 00:00:00.20 HA      900_226000791719 A3    2     5
D 2016-04-18 12:35:49.81 00:00:00.00 HR 0000_0000000180598569 A1    1  2245
D 2016-04-18 12:37:14.22 00:00:00.00 HR 0000_0000000180843440 A3    1  2517
D 2016-04-18 12:50:46.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2016-04-18 12:52:13.66 00:00:00.00 HR 0000_0000000180843440 A3    1  4466
D 2016-04-18 13:05:44.50 00:00:00.20 HR 0000_0000000180598569 A1    2  4457
D 2016-04-18 13:07:12.97 00:00:00.00 HR 0000_0000000180843440 A3    1  4466
D 2016-04-18 13:20:42.38 00:00:00.00 HR 0000_0000000180598569 A1    1  4458
D 2016-04-18 13:22:11.85 00:00:00.00 HR 0000_0000000180843440 A3    1  4464
D 2016-04-18 13:35:40.22 00:00:00.20 HR 0000_0000000180598569 A1    2  4459
D 2016-04-18 13:37:10.50 00:00:00.00 HR 0000_0000000180843440 A3    1  4463
D 2016-04-18 13:50:38.08 00:00:00.00 HR 0000_0000000180598569 A1    1  4458
D 2016-04-18 13:52:09.18 00:00:00.00 HR 0000_0000000180843440 A3    1  4463
