ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 1.79 A2 0.77                 EA 0.73   12.1 V     3.3 V   13:59:59.64
Rx 0.20 Tx A1 1.77 A2 0.78                 EA 0.73   12.1 V     3.3 V   14:00:00.16
Rx 0.20 Tx A1 1.78 A2 0.77                 EA 0.73   12.1 V     3.3 V   14:00:00.67

>up
Upload #23
Reader: DOWNSTREAM 12  Site: AA
--------- upload 23 start ---------
E 2017-05-27 15:11:30.98 upload 22 complete
E 2017-05-27 15:12:01.76 supply power ok 13.1V
E 2017-05-27 15:12:01.76 database file opened
E 2017-05-27 15:12:01.76 starting reader after power up
D 2017-05-27 15:12:04.92 00:00:00.61 HA      900_226000791733 A1    4    12
D 2017-05-27 15:12:05.93 00:00:01.61 HA      900_226000791733 A1    4     1
D 2017-05-27 15:12:07.54 00:00:01.41 HA      900_226000791733 A1    8     4
D 2017-05-27 15:12:09.56 00:00:00.40 HA      900_226000791733 A1    3     2
D 2017-05-27 15:12:17.61 00:00:00.61 HA      900_226000791733 A1    4    37
D 2017-05-27 15:12:18.82 00:00:00.41 HA      900_226000791733 A1    3     2
D 2017-05-27 15:12:20.03 00:00:00.20 HA      900_226000791733 A1    2     3
D 2017-05-27 15:12:32.02 00:00:00.00 HA      900_226000791733 A2    1   147
D 2017-05-27 15:12:32.42 00:00:00.60 HA      900_226000791733 A2    4     1
D 2017-05-27 15:12:33.62 00:00:00.41 HA      900_226000791733 A2    3     2
D 2017-05-27 15:12:34.43 00:00:00.00 HA      900_226000791733 A2    1     1
D 2017-05-27 15:12:48.42 00:00:00.20 HR 0000_0000000180843403 A1    2   139
D 2017-05-27 15:24:51.82 00:00:00.00 HR 0000_0000000180843440 A2    1  3659
D 2017-05-27 15:27:42.31 00:00:00.00 HR 0000_0000000180843403 A1    1  4435
D 2017-05-27 15:39:47.24 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-05-27 15:42:36.30 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-27 15:54:42.41 00:00:00.00 HR 0000_0000000180843440 A2    1  4444
D 2017-05-27 15:57:30.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-27 16:09:38.23 00:00:00.00 HR 0000_0000000180843440 A2    1  4447
D 2017-05-27 16:12:24.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-27 16:24:34.02 00:00:00.00 HR 0000_0000000180843440 A2    1  4447
D 2017-05-27 16:27:18.04 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-27 16:39:30.39 00:00:00.00 HR 0000_0000000180843440 A2    1  4450
D 2017-05-27 16:42:11.79 00:00:00.21 HR 0000_0000000180843403 A1    2  4437
D 2017-05-27 16:54:27.35 00:00:00.00 HR 0000_0000000180843440 A2    1  4453
D 2017-05-27 16:57:05.74 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-27 17:09:23.75 00:00:00.00 HR 0000_0000000180843440 A2    1  4450
D 2017-05-27 17:11:59.52 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-27 17:24:20.13 00:00:00.00 HR 0000_0000000180843440 A2    1  4450
D 2017-05-27 17:26:53.48 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-27 17:39:16.72 00:00:00.00 HR 0000_0000000180843440 A2    1  4451
