ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx         A2 0.73                 EA 0.46   12.0 V     3.3 V   14:38:25.51
Rx 0.20 Tx A1 1.83 A2 0.73                 EA 0.74   12.0 V     3.3 V   14:38:26.03
Rx 0.20 Tx A1 1.75 A2 0.73                 EA 0.72   12.0 V     3.3 V   14:38:26.54

>up
Upload #5
Reader: DOWNSTREAM 12  Site: AA
--------- upload 5 start ---------
E 2017-04-17 13:56:03.16 upload 4 complete
E 2017-04-17 14:05:17.60 supply power ok 12.5V
E 2017-04-17 14:05:17.60 database file opened
E 2017-04-17 14:05:17.60 starting reader after power up
D 2017-04-17 14:05:56.52 00:00:00.00 HA      900_226000791733 A2    1   190
D 2017-04-17 14:05:57.73 00:00:00.60 HA      900_226000791733 A2    4     5
D 2017-04-17 14:06:12.73 00:00:00.80 HA      900_226000791733 A1    5   270
D 2017-04-17 14:06:24.41 00:00:01.01 HA      900_228000093608 A1    6    53
D 2017-04-17 14:06:26.42 00:00:00.20 HA      900_228000093608 A1    2     4
D 2017-04-17 14:06:27.03 00:00:02.81 HA      900_228000093608 A1   15     1
D 2017-04-17 14:06:30.65 00:00:00.20 HA      900_228000093608 A1    2     3
D 2017-04-17 14:06:31.26 00:00:02.21 HA      900_228000093608 A1   12     1
D 2017-04-17 14:06:33.87 00:00:00.41 HA      900_228000093608 A1    3     1
D 2017-04-17 14:06:34.68 00:00:00.00 HA      900_228000093608 A1    1     1
D 2017-04-17 14:06:43.54 00:00:01.40 HA      900_226000791702 A1    8    43
D 2017-04-17 14:06:45.35 00:00:00.60 HA      900_226000791702 A1    4     1
D 2017-04-17 14:14:21.59 00:00:00.00 HR 0000_0000000180843403 A2    1  2498
D 2017-04-17 14:17:54.97 00:00:00.00 HR 0000_0000000180843440 A1    1  3321
D 2017-04-17 14:32:50.30 00:00:00.00 HR 0000_0000000180843440 A1    1  4445
D 2017-04-17 14:44:10.30 00:00:00.00 HR 0000_0000000180843403 A2    1  8881
D 2017-04-17 14:47:45.48 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-04-17 14:59:04.63 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-17 15:02:40.60 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-04-17 15:13:58.74 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-17 15:17:35.74 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-04-17 15:28:52.88 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-17 15:32:31.10 00:00:00.00 HR 0000_0000000180843440 A1    1  4445
D 2017-04-17 15:43:47.26 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-17 15:47:26.45 00:00:00.00 HR 0000_0000000180843440 A1    1  4445
D 2017-04-17 15:58:41.59 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-17 16:02:21.61 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-04-17 16:13:35.96 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-17 16:17:16.95 00:00:00.00 HR 0000_0000000180843440 A1    1  4445
D 2017-04-17 16:28:30.44 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-17 16:32:11.88 00:00:00.21 HR 0000_0000000180843440 A1    2  4443
D 2017-04-17 16:43:24.76 00:00:00.20 HR 0000_0000000180843403 A2    2  4440
D 2017-04-17 16:47:07.16 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-04-17 16:58:19.30 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-17 17:02:02.11 00:00:00.20 HR 0000_0000000180843440 A1    2  4443
D 2017-04-17 17:13:13.83 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-17 17:16:57.26 00:00:00.20 HR 0000_0000000180843440 A1    2  4443
D 2017-04-17 17:28:08.16 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-17 17:31:52.40 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-04-17 17:43:02.64 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-17 17:46:47.47 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-04-17 17:57:57.13 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-17 18:01:42.56 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-04-17 18:12:51.81 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-17 18:16:37.45 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-04-17 18:27:46.33 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-17 18:31:32.38 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-04-17 18:42:40.67 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-17 18:46:27.13 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-04-17 18:57:35.23 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-17 19:01:21.69 00:00:00.20 HR 0000_0000000180843440 A1    2  4441
D 2017-04-17 19:12:29.59 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-17 19:16:16.46 00:00:00.20 HR 0000_0000000180843440 A1    2  4441
D 2017-04-17 19:27:24.36 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-17 19:31:11.21 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-04-17 19:42:19.14 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-17 19:46:05.60 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-17 19:57:14.07 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-04-17 20:01:00.12 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-04-17 20:12:08.60 00:00:00.20 HR 0000_0000000180843403 A2    2  4441
D 2017-04-17 20:15:54.67 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-04-17 20:27:03.40 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-17 20:30:49.07 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-17 20:41:58.18 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-17 20:45:43.45 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-17 20:56:52.96 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-17 21:00:37.83 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-17 21:11:47.94 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-04-17 21:15:32.18 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-17 21:26:42.70 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-17 21:30:26.54 00:00:00.20 HR 0000_0000000180843440 A1    2  4440
D 2017-04-17 21:41:37.42 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-17 21:45:21.08 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-17 21:56:32.19 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-17 22:00:15.40 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-17 22:11:26.71 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-17 22:15:09.54 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-17 22:26:21.45 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
