ad
                           supply                    supply     clock
                            amps                      volts     volts
                        A3 0.88         EA 0.43   11.8 V     3.3 V   15:57:09.19
Rx 0.22 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:09.70
Rx 0.20 Tx                 A3 0.88 A4 0.96 EA 0.55   11.8 V     3.3 V   15:57:10.22
Rx 0.21 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:10.73

>up
Upload #15
Reader: UPSTREAM 34  Site: AA
--------- upload 15 start ---------
E 2017-05-01 14:55:43.65 upload 14 complete
E 2017-05-01 15:04:29.76 supply power ok 12.4V
E 2017-05-01 15:04:29.76 database file opened
E 2017-05-01 15:04:29.77 starting reader after power up
D 2017-05-01 21:36:10.78 00:00:00.20 HR 0000_0000000180598569 A3    2  4451
D 2017-05-01 21:38:21.40 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-01 21:51:07.38 00:00:00.00 HR 0000_0000000180598569 A3    1  4450
D 2017-05-01 21:53:18.57 00:00:00.21 HR 0000_0000000180573731 A4    2  4454
D 2017-05-01 22:06:03.95 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-01 22:08:15.93 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-01 22:21:00.65 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-01 22:23:13.07 00:00:00.20 HR 0000_0000000180573731 A4    2  4454
D 2017-05-01 22:35:57.22 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-01 22:38:10.43 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-01 22:50:53.95 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-01 22:53:07.38 00:00:00.20 HR 0000_0000000180573731 A4    2  4453
D 2017-05-01 23:05:50.51 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-01 23:20:47.24 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-01 23:23:02.26 00:00:00.00 HR 0000_0000000180573731 A4    1  8911
D 2017-05-01 23:35:43.79 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
