ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 1.74 A2 0.66                 EA 0.69   11.4 V     3.3 V   13:52:18.16
Rx 0.20 Tx A1 1.71 A2 0.66                 EA 0.68   11.4 V     3.3 V   13:52:18.67
Rx 0.19 Tx A1 1.68 A2 0.66                 EA 0.68   11.4 V     3.3 V   13:52:19.19

>up
Upload #32
Reader: DOWNSTREAM 12  Site: AA
--------- upload 32 start ---------
E 2017-06-26 11:06:55.78 upload 31 complete
E 2017-06-26 11:07:12.05 supply power ok 11.6V
E 2017-06-26 11:07:12.05 database file opened
E 2017-06-26 11:07:12.05 starting reader after power up
E 2017-06-26 11:11:50.00 supply power ok 12.5V
E 2017-06-26 11:11:50.00 database file opened
E 2017-06-26 11:11:50.00 starting reader after power up
D 2017-06-26 11:12:02.44 00:00:00.81 HA      900_226000791733 A1    5    63
D 2017-06-26 11:12:03.85 00:00:03.83 HA      900_226000791733 A1   20     2
E 2017-06-26 11:12:34.90 supply power ok 12.5V
E 2017-06-26 11:12:34.90 database file opened
E 2017-06-26 11:12:34.90 starting reader after power up
D 2017-06-26 11:12:35.65 23:59:59.61 HA      900_226000791733 A1    4     0
D 2017-06-26 11:12:35.86 00:00:02.01 HA      900_226000791733 A1   11     2
D 2017-06-26 11:12:50.86 00:00:00.62 HA      900_226000791733 A2    4    81
D 2017-06-26 11:12:51.88 00:00:00.40 HA      900_226000791733 A2    3     1
D 2017-06-26 11:15:34.19 00:00:00.00 HR 0000_0000000180843440 A2    1   803
D 2017-06-26 11:20:57.50 00:00:00.20 HR 0000_0000000180843403 A1    2  2480
D 2017-06-26 11:30:31.71 00:00:00.00 HR 0000_0000000180843440 A2    1  4456
D 2017-06-26 11:35:51.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-26 11:45:29.44 00:00:00.00 HR 0000_0000000180843440 A2    1  4457
D 2017-06-26 11:50:45.91 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-26 12:00:26.95 00:00:00.00 HR 0000_0000000180843440 A2    1  4456
D 2017-06-26 12:05:39.98 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-26 12:15:24.26 00:00:00.00 HR 0000_0000000180843440 A2    1  4455
D 2017-06-26 12:20:34.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-06-26 12:30:21.55 00:00:00.00 HR 0000_0000000180843440 A2    1  4455
D 2017-06-26 12:35:28.55 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-06-26 12:45:19.07 00:00:00.00 HR 0000_0000000180843440 A2    1  4456
D 2017-06-26 12:50:22.62 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-26 13:00:17.17 00:00:00.00 HR 0000_0000000180843440 A2    1  4459
D 2017-06-26 13:05:16.69 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-26 13:15:15.49 00:00:00.00 HR 0000_0000000180843440 A2    1  4460
D 2017-06-26 13:20:10.77 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-26 13:30:14.15 00:00:00.00 HR 0000_0000000180843440 A2    1  4462
D 2017-06-26 13:35:04.83 00:00:00.21 HR 0000_0000000180843403 A1    2  4439
D 2017-06-26 13:45:12.86 00:00:00.00 HR 0000_0000000180843440 A2    1  4462
