ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx                 A3 0.82 A4 0.96 EA 0.54   11.9 V     3.3 V   13:56:39.18
Rx 0.22 Tx                 A3 0.82 A4 0.96 EA 0.55   11.9 V     3.3 V   13:56:39.69
Rx 0.20 Tx                 A3 0.83 A4 0.96 EA 0.54   11.9 V     3.3 V   13:56:40.20

>up
Upload #31
Reader: UPSTREAM 34  Site: AA
--------- upload 31 start ---------
E 2017-05-27 15:16:50.33 upload 30 complete
E 2017-05-27 15:17:30.14 supply power ok 12.5V
E 2017-05-27 15:17:30.14 database file opened
E 2017-05-27 15:17:30.14 starting reader after power up
D 2017-05-27 15:17:48.04 00:00:00.00 HA      900_226000791733 A4    1    65
D 2017-05-27 15:17:48.44 00:00:00.20 HA      900_226000791733 A4    2     1
D 2017-05-27 15:17:50.05 00:00:00.41 HA      900_226000791733 A4    3     6
D 2017-05-27 15:17:51.47 00:00:00.20 HA      900_226000791733 A4    2     4
D 2017-05-27 15:17:53.08 00:00:00.20 HA      900_226000791733 A4    2     6
D 2017-05-27 15:17:53.68 23:59:59.41 HA      900_226000791733 A4    3     1
D 2017-05-27 15:17:54.49 00:00:00.41 HA      900_226000791733 A4    3     1
D 2017-05-27 15:17:56.31 00:00:00.60 HA      900_226000791733 A4    4     6
D 2017-05-27 15:18:10.32 00:00:00.60 HA      900_226000791733 A3    4   176
D 2017-05-27 15:18:12.13 00:00:00.60 HA      900_226000791733 A3    4     5
D 2017-05-27 15:19:38.64 00:00:00.00 HA      900_228000093600 A4    1   504
D 2017-05-27 15:19:38.04 00:00:00.20 HA      900_228000093600 A4    2     1
D 2017-05-27 15:19:40.45 00:00:00.00 HA      900_228000093600 A4    1     5
D 2017-05-27 15:19:40.06 00:00:00.00 HA      900_228000093600 A4    1     2
D 2017-05-27 15:20:10.95 00:00:00.00 HR 0000_0000000180598569 A3    1   586
D 2017-05-27 15:27:30.66 00:00:00.00 HR 0000_0000000180573731 A4    1  2331
D 2017-05-27 15:35:07.93 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-27 15:42:28.27 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-27 15:50:05.12 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-27 15:57:25.86 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-27 16:05:02.13 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-27 16:12:23.27 00:00:00.20 HR 0000_0000000180573731 A4    2  4455
