
----------------------------------------
JN2112.log
detection date	time	duration	tag type	tag id	read count	empty record count	antenna num
06/18/12	14:54:28	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	15:09:22	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	15:24:17	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	15:39:11	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	15:54:06	00:00:00	R	0000_0000000174764773	1	4443	A1
06/18/12	16:09:00	00:00:00	R	0000_0000000174764773	1	4443	A1
06/18/12	16:23:55	00:00:00	R	0000_0000000174764773	1	4443	A1
06/18/12	16:38:49	00:00:00	R	0000_0000000174764773	2	4442	A1
06/18/12	16:53:44	00:00:00	R	0000_0000000174764773	2	4442	A1
06/18/12	17:08:39	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	17:23:33	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	17:38:28	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	17:53:22	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	18:08:17	00:00:00	R	0000_0000000174764773	1	4443	A1
06/18/12	18:23:11	00:00:00	R	0000_0000000174764773	1	4444	A1
06/18/12	18:38:06	00:00:00	R	0000_0000000174764773	2	4442	A1
06/18/12	18:53:00	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	19:07:55	00:00:00	R	0000_0000000174764773	1	4443	A1
06/18/12	19:22:49	00:00:00	R	0000_0000000174764773	2	4442	A1
06/18/12	19:37:44	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	19:52:39	00:00:00	R	0000_0000000174764773	1	4443	A1
06/18/12	20:07:33	00:00:00	R	0000_0000000174764773	1	4443	A1
06/18/12	20:22:28	00:00:00	R	0000_0000000174764773	1	4443	A1
06/18/12	20:37:22	00:00:00	R	0000_0000000174764773	1	4443	A1
06/18/12	20:52:17	00:00:00	R	0000_0000000174764773	1	4443	A1
06/18/12	21:07:11	00:00:00	R	0000_0000000174764773	1	4442	A1
06/18/12	21:22:06	00:00:00	R	0000_0000000174764773	1	4441	A1
06/18/12	21:37:01	00:00:00	R	0000_0000000174764773	1	4468	A1
06/18/12	21:51:55	00:00:00	R	0000_0000000174764773	2	5499	A1
06/18/12	22:06:50	00:00:00	R	0000_0000000174764773	1	5365	A1
06/18/12	22:21:44	00:00:00	R	0000_0000000174764773	1	7913	A1
06/18/12	22:36:39	00:00:00	R	0000_0000000174764773	1	7167	A1
06/18/12	22:51:34	00:00:00	R	0000_0000000174764773	1	6139	A1
06/18/12	23:06:28	00:00:00	R	0000_0000000174764773	1	4952	A1
06/18/12	23:21:23	00:00:00	R	0000_0000000174764773	1	7096	A1
06/18/12	23:36:18	00:00:00	R	0000_0000000174764773	1	6191	A1
06/18/12	23:51:12	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	00:06:07	00:00:00	R	0000_0000000174764773	1	6353	A1
06/19/12	00:06:07	00:00:00	R	0000_0000000174764773	1	1	A1
06/19/12	00:21:01	00:00:00	R	0000_0000000174764773	1	5439	A1
06/19/12	00:35:56	00:00:00	R	0000_0000000174764773	1	6298	A1
06/19/12	00:50:51	00:00:00	R	0000_0000000174764773	1	5586	A1
06/19/12	01:05:45	00:00:00	R	0000_0000000174764773	1	4459	A1
06/19/12	01:20:40	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	01:35:35	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	01:50:29	00:00:00	R	0000_0000000174764773	1	4443	A1
06/19/12	02:05:24	00:00:00	R	0000_0000000174764773	1	5156	A1
06/19/12	02:20:19	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	02:35:13	00:00:00	R	0000_0000000174764773	2	4448	A1
06/19/12	02:50:08	00:00:00	R	0000_0000000174764773	1	5730	A1
06/19/12	03:05:02	00:00:00	R	0000_0000000174764773	1	4443	A1
06/19/12	03:19:57	00:00:00	R	0000_0000000174764773	1	4454	A1
06/19/12	03:34:51	00:00:00	R	0000_0000000174764773	2	4763	A1
06/19/12	03:49:46	00:00:00	R	0000_0000000174764773	1	4478	A1
06/19/12	04:04:41	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	04:19:35	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	04:34:30	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	04:49:25	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	05:04:19	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	05:19:14	00:00:00	R	0000_0000000174764773	1	4444	A1
06/19/12	05:34:08	00:00:00	R	0000_0000000174764773	2	4442	A1
06/19/12	05:49:03	00:00:00	R	0000_0000000174764773	2	4442	A1
06/19/12	06:03:58	00:00:00	R	0000_0000000174764773	1	4443	A1
06/19/12	06:18:52	00:00:00	R	0000_0000000174764773	1	4444	A1
06/19/12	06:33:47	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	06:48:41	00:00:00	R	0000_0000000174764773	1	4443	A1
06/19/12	07:03:36	00:00:00	R	0000_0000000174764773	1	4443	A1
06/19/12	07:18:31	00:00:00	R	0000_0000000174764773	1	4443	A1
06/19/12	07:33:25	00:00:00	R	0000_0000000174764773	1	4443	A1
06/19/12	07:48:20	00:00:00	R	0000_0000000174764773	1	4444	A1
06/19/12	08:03:15	00:00:00	R	0000_0000000174764773	2	4442	A1
06/19/12	08:18:09	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	08:33:04	00:00:00	R	0000_0000000174764773	1	4443	A1
06/19/12	08:47:59	00:00:00	R	0000_0000000174764773	1	4442	A1
