05/07/2012 17:57:50.32  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/07/2012 18:12:45.43  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/07/2012 18:27:40.55  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/07/2012 18:42:35.86  00:00:00.00 R 0000_0000000174764773 A1    1  4446
05/07/2012 18:57:31.26  00:00:00.00 R 0000_0000000174764773 A1    1  4446
05/07/2012 19:12:26.42  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/07/2012 19:27:21.61  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/07/2012 19:42:16.64  00:00:00.20 R 0000_0000000174764773 A1    2  4444
05/07/2012 19:57:11.87  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/07/2012 20:12:07.07  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/07/2012 20:27:02.34  00:00:00.00 R 0000_0000000174764773 A1    1  4446
05/07/2012 20:41:57.64  00:00:00.00 R 0000_0000000174764773 A1    1  4446
05/07/2012 20:56:53.04  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/07/2012 21:11:48.31  00:00:00.20 R 0000_0000000174764773 A1    2  4444
05/07/2012 21:26:43.52  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/07/2012 21:41:38.77  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/07/2012 21:56:33.77  00:00:00.00 R 0000_0000000174764773 A1    1  4449
05/07/2012 22:11:28.79  00:00:00.00 R 0000_0000000174764773 A1    1  4475
05/07/2012 22:26:23.93  00:00:00.00 R 0000_0000000174764773 A1    1  4742
05/07/2012 22:41:19.16  00:00:00.00 R 0000_0000000174764773 A1    1  4835
05/07/2012 22:56:14.32  00:00:00.00 R 0000_0000000174764773 A1    1  7601
05/07/2012 23:11:09.31  00:00:00.00 R 0000_0000000174764773 A1    1  8026
05/07/2012 23:26:04.40  00:00:00.00 R 0000_0000000174764773 A1    1  8017
05/07/2012 23:40:59.66  00:00:00.00 R 0000_0000000174764773 A1    1  8292
05/07/2012 23:55:54.76  00:00:00.00 R 0000_0000000174764773 A1    1  6036
05/08/2012 00:10:49.86  00:00:00.00 R 0000_0000000174764773 A1    1  4721
05/08/2012 00:25:45.11  00:00:00.00 R 0000_0000000174764773 A1    1  6931
05/08/2012 00:40:40.30  00:00:00.00 R 0000_0000000174764773 A1    1  7398
05/08/2012 00:55:35.30  00:00:00.00 R 0000_0000000174764773 A1    1  8087
05/08/2012 01:10:30.44  00:00:00.00 R 0000_0000000174764773 A1    1  8501
05/08/2012 01:25:25.75  00:00:00.00 R 0000_0000000174764773 A1    1  8571
05/08/2012 01:40:21.04  00:00:00.00 R 0000_0000000174764773 A1    1  8394
05/08/2012 01:55:16.05  00:00:00.00 R 0000_0000000174764773 A1    1  8425
05/08/2012 02:10:11.31  00:00:00.00 R 0000_0000000174764773 A1    1  8352
05/08/2012 02:25:06.45  00:00:00.00 R 0000_0000000174764773 A1    1  7630
05/08/2012 02:40:01.47  00:00:00.00 R 0000_0000000174764773 A1    1  8450
05/08/2012 02:54:56.46  00:00:00.20 R 0000_0000000174764773 A1    2  8477
05/08/2012 03:09:51.55  00:00:00.00 R 0000_0000000174764773 A1    1  5818
05/08/2012 03:24:46.77  00:00:00.00 R 0000_0000000174764773 A1    1  4570
05/08/2012 03:39:41.95  00:00:00.00 R 0000_0000000174764773 A1    1  5532
05/08/2012 03:54:36.93  00:00:00.00 R 0000_0000000174764773 A1    1  4546
05/08/2012 04:09:32.00  00:00:00.00 R 0000_0000000174764773 A1    1  4475
05/08/2012 04:24:27.03  00:00:00.00 R 0000_0000000174764773 A1    1  4490
05/08/2012 04:39:22.13  00:00:00.00 R 0000_0000000174764773 A1    1  4470
05/08/2012 04:54:17.16  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 05:09:12.31  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 05:24:07.44  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 05:39:02.57  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 05:53:57.71  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 06:08:52.70  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 06:23:47.83  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 06:38:42.98  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 06:53:38.13  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 07:08:33.27  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 07:23:28.21  00:00:00.20 R 0000_0000000174764773 A1    2  4444
05/08/2012 07:38:23.36  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 07:53:18.45  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 08:08:13.56  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 08:23:08.36  00:00:00.20 R 0000_0000000174764773 A1    2  4443
05/08/2012 08:38:03.68  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 08:52:58.59  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 09:07:53.38  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 09:22:48.34  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 09:37:43.31  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 09:52:38.11  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 10:07:33.14  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 10:22:27.97  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 10:37:23.05  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 10:52:17.93  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 11:07:12.80  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 11:22:07.71  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 11:37:02.63  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 11:51:57.29  00:00:00.21 R 0000_0000000174764773 A1    2  4443
05/08/2012 12:06:52.39  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 12:21:47.26  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 12:36:42.13  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 12:51:37.06  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 13:06:31.77  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/08/2012 13:21:26.68  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 13:36:21.54  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 13:51:16.41  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 14:06:11.49  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 14:21:06.34  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 14:36:01.42  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 14:50:56.37  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 15:05:51.48  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 15:20:46.48  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 15:35:41.62  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 15:50:36.52  00:00:00.20 R 0000_0000000174764773 A1    2  4444
05/08/2012 16:05:31.59  00:00:00.20 R 0000_0000000174764773 A1    2  4444
05/08/2012 16:20:26.66  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 16:35:21.58  00:00:00.20 R 0000_0000000174764773 A1    2  4444
05/08/2012 16:50:16.66  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 17:05:11.71  00:00:00.20 R 0000_0000000174764773 A1    2  4445
05/08/2012 17:20:06.79  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 17:35:02.04  00:00:00.00 R 0000_0000000174764773 A1    1  4446
05/08/2012 17:49:56.86  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 18:04:51.92  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 18:19:47.06  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 18:34:42.16  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 18:49:37.32  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 19:04:32.43  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 19:19:27.54  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 19:34:22.51  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 19:49:17.65  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 20:04:12.83  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 20:19:08.12  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/08/2012 20:34:03.02  00:00:00.21 R 0000_0000000174764773 A1    2  4443
05/08/2012 20:48:58.31  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/08/2012 21:03:53.50  00:00:00.00 R 0000_0000000174764773 A1    1  4446
05/08/2012 21:18:48.54  00:00:00.00 R 0000_0000000174764773 A1    1  5932
05/08/2012 21:33:43.61  00:00:00.00 R 0000_0000000174764773 A1    1  5459
05/08/2012 21:48:38.66  00:00:00.00 R 0000_0000000174764773 A1    1  5199
05/08/2012 22:03:33.82  00:00:00.00 R 0000_0000000174764773 A1    1  7798
05/08/2012 22:18:28.90  00:00:00.00 R 0000_0000000174764773 A1    1  8379
05/08/2012 22:33:24.08  00:00:00.00 R 0000_0000000174764773 A1    1  5676
05/08/2012 22:48:19.13  00:00:00.00 R 0000_0000000174764773 A1    1  6811
05/08/2012 23:03:14.17  00:00:00.00 R 0000_0000000174764773 A1    1  7875
05/08/2012 23:18:09.22  00:00:00.00 R 0000_0000000174764773 A1    1  8361
05/08/2012 23:33:04.24  00:00:00.00 R 0000_0000000174764773 A1    1  8467
05/08/2012 23:47:59.24  00:00:00.00 R 0000_0000000174764773 A1    1  8586
05/08/2012 23:47:59.44  00:00:00.00 R 0000_0000000174764773 A1    1     1
05/09/2012 00:02:54.71  00:00:00.00 R 0000_0000000174764773 A1    1  8629
05/09/2012 00:17:49.94  00:00:00.00 R 0000_0000000174764773 A1    1  8604
05/09/2012 00:32:45.06  00:00:00.00 R 0000_0000000174764773 A1    1  8508
05/09/2012 00:32:45.26  00:00:00.00 R 0000_0000000174764773 A1    1     1
05/09/2012 00:47:40.32  00:00:00.00 R 0000_0000000174764773 A1    1  8507
05/09/2012 01:02:35.26  00:00:00.00 R 0000_0000000174764773 A1    1  8598
05/09/2012 01:17:30.36  00:00:00.00 R 0000_0000000174764773 A1    1  8332
05/09/2012 01:32:25.47  00:00:00.00 R 0000_0000000174764773 A1    1  8533
05/09/2012 01:32:25.67  00:00:00.00 R 0000_0000000174764773 A1    1     1
05/09/2012 01:47:20.64  00:00:00.00 R 0000_0000000174764773 A1    1  8582
05/09/2012 02:02:15.72  00:00:00.00 R 0000_0000000174764773 A1    1  7161
05/09/2012 02:17:10.87  00:00:00.00 R 0000_0000000174764773 A1    1  5452
05/09/2012 02:32:05.96  00:00:00.22 R 0000_0000000174764773 A1    2  4458
05/09/2012 02:47:01.18  00:00:00.00 R 0000_0000000174764773 A1    1  4478
05/09/2012 03:01:56.28  00:00:00.00 R 0000_0000000174764773 A1    1  6900
05/09/2012 03:16:51.45  00:00:00.00 R 0000_0000000174764773 A1    1  6028
05/09/2012 03:31:46.69  00:00:00.00 R 0000_0000000174764773 A1    1  4474
05/09/2012 03:46:41.81  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 04:01:37.01  00:00:00.20 R 0000_0000000174764773 A1    2  4455
05/09/2012 04:16:31.94  00:00:00.00 R 0000_0000000174764773 A1    1  5073
05/09/2012 04:31:26.74  00:00:00.00 R 0000_0000000174764773 A1    1  4507
05/09/2012 04:46:21.60  00:00:00.00 R 0000_0000000174764773 A1    1  4472
05/09/2012 05:01:16.54  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 05:16:11.32  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 05:31:06.21  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 05:46:01.32  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/09/2012 06:00:56.25  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 06:15:51.37  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/09/2012 06:30:46.27  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 06:45:41.15  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 07:00:35.86  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 07:15:30.77  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 07:30:25.46  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 07:45:20.33  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 08:00:15.14  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 08:15:09.74  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 08:30:04.59  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 08:44:59.66  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/09/2012 08:59:54.45  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 09:14:49.24  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 09:29:44.05  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 09:44:39.04  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/09/2012 09:59:33.86  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 10:14:28.70  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 10:29:23.32  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 10:44:17.91  00:00:00.21 R 0000_0000000174764773 A1    2  4443
05/09/2012 10:59:12.70  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 11:14:07.50  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 11:29:02.13  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 11:43:56.93  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 11:58:51.52  00:00:00.20 R 0000_0000000174764773 A1    2  4443
05/09/2012 12:13:46.31  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 12:28:40.95  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 12:43:35.56  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 12:58:30.34  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 13:13:25.11  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 13:28:19.94  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 13:43:14.73  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 13:58:09.34  00:00:00.20 R 0000_0000000174764773 A1    2  4443
05/09/2012 14:13:04.14  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 14:27:58.75  00:00:00.00 R 0000_0000000174764773 A1    1  4443
