
----------------------------------------
MA3112.log
detection date	time	duration	tag type	tag id	read count	empty record count	antenna num
05/29/12	07:46:47	00:00:00	R	0000_0000000174764773	1	4443	A1
05/29/12	08:01:41	00:00:00	R	0000_0000000174764773	1	4443	A1
05/29/12	08:16:36	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	08:31:30	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	08:46:24	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	09:01:19	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	09:16:13	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	09:31:07	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	09:46:02	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	10:00:56	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	10:15:50	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	10:30:45	00:00:00	R	0000_0000000174764773	1	4443	A1
05/29/12	10:45:39	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	11:00:34	00:00:00	R	0000_0000000174764773	2	4441	A1
05/29/12	11:15:28	00:00:00	R	0000_0000000174764773	2	4441	A1
05/29/12	11:30:23	00:00:00	R	0000_0000000174764773	2	4442	A1
05/29/12	11:45:17	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	12:00:12	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	12:15:06	00:00:00	R	0000_0000000174764773	2	4441	A1
05/29/12	12:30:00	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	12:44:55	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	12:59:49	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	13:14:43	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	13:29:38	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	13:44:32	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	13:59:27	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	14:14:21	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	14:29:15	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	14:44:10	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	14:59:04	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	15:13:58	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	15:28:53	00:00:00	R	0000_0000000174764773	2	4441	A1
05/29/12	15:43:47	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	15:58:41	00:00:00	R	0000_0000000174764773	2	4441	A1
05/29/12	16:13:36	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	16:28:31	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	16:43:25	00:00:00	R	0000_0000000174764773	1	4443	A1
05/29/12	16:58:20	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	17:13:14	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	17:28:09	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	17:43:03	00:00:00	R	0000_0000000174764773	2	4441	A1
05/29/12	17:57:58	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	18:12:52	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	18:27:46	00:00:00	R	0000_0000000174764773	2	4441	A1
05/29/12	18:42:41	00:00:00	R	0000_0000000174764773	1	4441	A1
05/29/12	18:57:35	00:00:00	R	0000_0000000174764773	2	4441	A1
05/29/12	19:12:30	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	19:27:24	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	19:42:19	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	19:57:13	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	20:12:08	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	20:27:02	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	20:41:56	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	20:56:51	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	21:11:45	00:00:00	R	0000_0000000174764773	2	4442	A1
05/29/12	21:26:40	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	21:41:34	00:00:00	R	0000_0000000174764773	2	4441	A1
05/29/12	21:56:29	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	22:11:23	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	22:26:18	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	22:41:13	00:00:00	R	0000_0000000174764773	1	4443	A1
05/29/12	22:56:07	00:00:00	R	0000_0000000174764773	1	4442	A1
05/29/12	23:11:02	00:00:00	R	0000_0000000174764773	1	4443	A1
05/29/12	23:25:56	00:00:00	R	0000_0000000174764773	1	4443	A1
05/29/12	23:40:51	00:00:00	R	0000_0000000174764773	1	4444	A1
05/29/12	23:55:46	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	00:10:40	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	00:25:34	00:00:00	R	0000_0000000174764773	1	4441	A1
05/30/12	00:40:29	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	00:55:23	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	01:10:18	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	01:25:13	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	01:40:07	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	01:55:02	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	02:09:56	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	02:24:50	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	02:39:45	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	02:54:39	00:00:00	R	0000_0000000174764773	2	4442	A1
05/30/12	03:09:34	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	03:24:29	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	03:39:23	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	03:54:17	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	04:09:12	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	04:24:06	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	04:39:01	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	04:53:56	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	05:08:50	00:00:00	R	0000_0000000174764773	2	4443	A1
05/30/12	05:23:45	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	05:38:39	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	05:53:34	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	06:08:28	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	06:23:23	00:00:00	R	0000_0000000174764773	1	4442	A1
05/30/12	06:23:41	00:00:01	A	00000_0_900_226000011010	8	88	A1
05/30/12	06:38:17	00:00:00	R	0000_0000000174764773	1	4346	A1
05/30/12	06:53:12	00:00:00	R	0000_0000000174764773	1	4443	A1
05/30/12	07:08:06	00:00:00	R	0000_0000000174764773	1	4443	A1
