

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx A1 0.82                         EA 0.50   10.8 V     3.3 V   10:16:07.79
Rx 0.23 Tx A1 0.81                         EA 0.51   10.8 V     3.3 V   10:16:08.30
Rx 0.23 Tx A1 0.81                         EA 0.51   10.8 V     3.3 V   10:16:08.81

>up
Upload #10
Reader: Noname  Site: AA
--------- upload 10 start ---------
E 2014-06-19 11:48:28.63 upload 9 complete
E 2014-06-19 11:50:52.08 supply power ok 12.6V
E 2014-06-19 11:50:52.08 database file opened
E 2014-06-19 11:50:52.08 starting reader after power up
D 2014-06-19 11:52:00.32 00:00:00.00 HR 0000_0000000181177664 A1    1  1490
D 2014-06-19 11:52:00.45 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-19 11:52:00.57 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-19 11:52:00.75 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-19 11:52:00.88 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-19 11:52:00.45 00:00:00.00 HR 0000_0000000181177664 A1    1    15
D 2014-06-19 11:52:11.91 00:00:00.00 HA      900_226000080255 A1    1   234
D 2014-06-19 11:52:21.67 00:00:00.00 HA      900_226000080255 A1    1   232
D 2014-06-19 11:52:21.80 00:00:00.05 HA      900_226000080255 A1    2     2
D 2014-06-19 11:52:22.47 00:00:00.00 HA      900_226000080255 A1    1    14
D 2014-06-19 11:52:22.85 00:00:00.00 HA      900_226000080255 A1    1     8
D 2014-06-19 11:52:22.57 00:00:00.00 HA      900_226000080255 A1    1    16
D 2014-06-19 11:52:22.70 00:00:00.00 HA      900_226000080255 A1    1     2
D 2014-06-19 11:52:22.83 00:00:00.00 HA      900_226000080255 A1    1     2
D 2014-06-19 11:52:22.96 23:59:59.06 HA      900_226000080255 A1    2     2
D 2014-06-19 11:52:28.57 00:00:00.00 HA      900_226000080255 A1    1    95
D 2014-06-19 11:52:37.82 00:00:00.00 HA      900_226000080255 A1    1   220
D 2014-06-19 11:52:43.76 00:00:00.00 HA      900_226000080255 A1    1   141
D 2014-06-19 11:56:57.29 00:00:00.00 HR 0000_0000000180573731 A1    1  6093
D 2014-06-19 11:56:57.42 00:00:00.00 HR 0000_0000000180573731 A1    1     2
D 2014-06-19 12:11:55.23 00:00:00.00 HR 0000_0000000180573731 A1    1 21589
D 2014-06-19 12:11:55.36 00:00:00.05 HR 0000_0000000180573731 A1    2     2
D 2014-06-19 12:26:53.02 00:00:00.05 HR 0000_0000000180573731 A1    2 21585
