

>

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.28 Tx A1 1.12 A2 1.14                 EA 0.69   12.4 V     3.2 V   12:05:44.82
Rx 0.27 Tx A1 1.12 A2 1.13                 EA 0.69   12.4 V     3.2 V   12:05:45.35
Rx 0.30 Tx A1 1.11 A2 1.17                 EA 0.70   12.4 V     3.2 V   12:05:45.86
Rx 0.29 Tx A1 1.12 A2 1.15                 EA 0.70   12.4 V     3.2 V   12:05:46.38
Rx 0.28 Tx A1 1.12 A2 1.16                 EA 0.69   12.4 V     3.2 V   12:05:46.89
Rx 0.30 Tx A1 1.12 A2 1.17                 EA 0.72   12.4 V     3.2 V   12:05:47.40

>up
Upload #3
Reader: Noname  Site: AA
--------- upload 3 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
D 2014-04-21 11:20:07.45 00:00:00.44 HA      900_226000011017 A1    6   122
E 2014-04-21 11:20:51.90 supply power ok 12.2V
E 2014-04-21 11:20:51.90 database file opened
E 2014-04-21 11:20:51.90 starting reader after power up
E 2014-04-21 11:22:41.97 supply power ok 12.5V
E 2014-04-21 11:22:41.97 database file opened
E 2014-04-21 11:22:41.97 starting reader after power up
D 2014-04-21 11:22:48.77 23:59:59.54 HR 0000_0000000178695688 A2    7     9
D 2014-04-21 11:22:49.39 00:00:00.00 HR 0000_0000000178695688 A1    1    16
D 2014-04-21 11:22:50.31 00:00:00.61 HR 0000_0000000178695688 A1    8    10
D 2014-04-21 11:22:54.93 00:00:00.36 HA      900_226000011017 A1    5    47
D 2014-04-21 11:22:55.46 00:00:00.09 HA      900_226000011017 A1    2     1
D 2014-04-21 11:22:55.80 00:00:00.18 HA      900_226000011017 A1    3     2
D 2014-04-21 11:22:56.15 00:00:00.00 HA      900_226000011017 A1    1     1
D 2014-04-21 11:22:56.82 00:00:00.00 HA      900_226000011017 A1    1     7
D 2014-04-21 11:22:56.09 00:00:00.09 HA      900_226000011017 A1    2     2
D 2014-04-21 11:28:17.33 00:00:00.18 HR 0000_0000000180573731 A2    3  3941
D 2014-04-21 11:34:09.03 00:00:00.96 HR 0000_0000000178695688 A2   12  4225
D 2014-04-21 11:34:13.34 00:00:00.97 HR 0000_0000000178695688 A2   12    39
D 2014-04-21 11:34:37.60 00:00:00.79 HA      900_226000011017 A2   10   278
D 2014-04-21 11:34:42.67 00:00:00.09 HA      900_226000011017 A2    2    50
D 2014-04-21 11:34:42.93 23:59:59.36 HA      900_226000011017 A2    5     1
