up
Upload #23
Reader: Noname  Site: AA
--------- upload 23 start ---------
E 2015-04-20 19:00:53.69 upload 22 complete
E 2015-04-21 16:17:39.64 supply power ok 12.4V
E 2015-04-21 16:17:39.64 database file opened
E 2015-04-21 16:17:39.64 starting reader after power up
D 2015-04-21 16:17:56.39 00:00:00.40 HR 0000_0000000181177679 A1    3    52
D 2015-04-21 16:17:57.80 00:00:00.41 HR 0000_0000000181177679 A1    3     4
D 2015-04-21 16:18:00.63 00:00:00.40 HR 0000_0000000181177679 A1    3    11
D 2015-04-21 16:18:12.10 00:00:00.20 HR 0000_0000000181177679 A1    2    54
D 2015-04-21 16:18:12.70 00:00:00.00 HR 0000_0000000181177679 A1    1     1
D 2015-04-21 16:18:13.51 00:00:00.81 HR 0000_0000000181177679 A1    5     3
D 2015-04-21 16:18:33.64 00:00:00.81 HA      900_226000080312 A1    5    95
D 2015-04-21 16:18:46.33 00:00:00.60 HA      900_226000080312 A1    4    58
D 2015-04-21 16:18:48.15 00:00:00.20 HA      900_226000080312 A1    2     5
D 2015-04-21 16:18:50.36 00:00:00.00 HA      900_226000080312 A1    1     9
D 2015-04-21 16:18:50.76 00:00:00.41 HA      900_226000080312 A1    3     1
D 2015-04-21 16:18:52.19 00:00:00.81 HA      900_226000080312 A1    5     4
D 2015-04-21 16:18:53.40 00:00:00.00 HA      900_226000080312 A1    1     1
D 2015-04-21 16:18:53.00 00:00:02.42 HA      900_226000080312 A1    8     2
D 2015-04-21 16:18:55.82 00:00:01.41 HA      900_226000080312 A1    8     1
D 2015-04-21 16:18:57.63 00:00:00.21 HA      900_226000080312 A1    2     1
D 2015-04-21 16:18:58.25 00:00:00.40 HA      900_226000080312 A1    3     1
D 2015-04-21 16:18:58.06 00:00:01.80 HA      900_226000080312 A1    5     1
D 2015-04-21 16:19:00.26 00:00:00.00 HA      900_226000080312 A1    1     1
D 2015-04-21 16:19:00.66 23:59:59.62 HA      900_226000080312 A1    4     1
D 2015-04-21 16:19:01.88 00:00:00.21 HA      900_226000080312 A1    2     2
D 2015-04-21 16:19:02.49 00:00:00.00 HA      900_226000080312 A1    1     1
