ad
                           supply                    supply     clock
                            amps                      volts     volts
                A2 0.94                 EA 0.46   13.0 V     3.2 V   12:08:44.41
Rx 0.23 Tx A1 1.70 A2 0.94                 EA 0.76   13.0 V     3.2 V   12:08:44.93
Rx 0.22 Tx A1 1.70 A2 0.94                 EA 0.76   13.0 V     3.2 V   12:08:45.45

>up
Upload #14
Reader: DOWNSTREAM 12  Site: AA
--------- upload 14 start ---------
E 2017-05-11 14:49:44.85 upload 13 complete
D 2017-05-11 14:50:16.39 00:00:00.00 HR 0000_0000000180843440 A1    1   345
E 2017-05-11 14:57:41.82 supply power ok 12.7V
E 2017-05-11 14:57:41.82 database file opened
E 2017-05-11 14:57:41.82 starting reader after power up
D 2017-05-11 21:32:27.69 00:00:00.20 HR 0000_0000000180843440 A1    2  4434
D 2017-05-11 21:46:49.56 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-11 21:47:20.88 00:00:00.20 HR 0000_0000000180843440 A1    2  4433
D 2017-05-11 22:01:44.51 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-11 22:02:14.01 00:00:00.20 HR 0000_0000000180843440 A1    2  4433
D 2017-05-11 22:16:39.26 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-11 22:17:07.15 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-11 22:31:34.02 00:00:00.20 HR 0000_0000000180843403 A2    2  4442
D 2017-05-11 22:32:00.30 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-05-11 22:46:29.16 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-11 22:46:53.42 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-05-11 23:01:23.88 00:00:00.21 HR 0000_0000000180843403 A2    2  4442
D 2017-05-11 23:01:46.54 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-05-11 23:16:18.85 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-11 23:16:39.68 00:00:00.20 HR 0000_0000000180843440 A1    2  4434
D 2017-05-11 23:31:13.80 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-11 23:31:32.83 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-11 23:46:08.73 00:00:00.20 HR 0000_0000000180843403 A2    2  4443
D 2017-05-11 23:46:25.95 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-05-12 00:01:03.72 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 00:01:19.33 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-05-12 00:15:58.72 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 00:16:12.32 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 00:30:53.66 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 00:31:05.24 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 00:45:48.45 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 00:45:58.22 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 01:00:43.45 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 01:00:51.41 00:00:00.00 HR 0000_0000000180843440 A1    1  4431
D 2017-05-12 01:15:38.23 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 01:15:44.58 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-05-12 01:30:33.04 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 01:30:37.56 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 01:45:28.00 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 01:45:30.51 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 02:00:22.78 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 02:00:23.49 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 02:15:16.63 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-05-12 02:15:17.73 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 02:30:09.58 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 02:30:12.70 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
