ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                 A3 0.87 A4 0.96 EA 0.55   11.7 V     3.3 V   14:38:55.73
Rx 0.21 Tx                 A3 0.87 A4 0.96 EA 0.56   11.7 V     3.3 V   14:38:56.25
Rx 0.22 Tx                 A3 0.87 A4 0.97 EA 0.57   11.7 V     3.3 V   14:38:56.76

>up
Upload #18
Reader: UPSTREAM 34  Site: AA
--------- upload 18 start ---------
E 2017-05-08 14:13:14.90 upload 17 complete
E 2017-05-08 14:24:00.86 supply power ok 12.2V
E 2017-05-08 14:24:00.86 database file opened
E 2017-05-08 14:24:00.86 starting reader after power up
D 2017-05-08 14:24:13.73 00:00:00.00 HA      900_226000791733 A4    1    45
D 2017-05-08 14:24:15.54 00:00:00.00 HA      900_226000791733 A4    1     7
D 2017-05-08 14:24:16.95 00:00:00.00 HA      900_226000791733 A4    1     6
D 2017-05-08 14:24:21.19 00:00:00.00 HA      900_226000791733 A4    1    20
D 2017-05-08 14:24:23.00 00:00:00.00 HA      900_226000791733 A4    1     8
D 2017-05-08 14:24:24.21 00:00:00.00 HA      900_226000791733 A4    1     5
D 2017-05-08 14:24:25.22 00:00:00.00 HA      900_226000791733 A4    1     4
D 2017-05-08 14:24:25.82 00:00:00.00 HA      900_226000791733 A4    1     2
D 2017-05-08 14:24:26.62 00:00:00.20 HA      900_226000791733 A4    2     3
D 2017-05-08 14:24:27.83 00:00:00.00 HA      900_226000791733 A4    1     4
D 2017-05-08 14:24:28.64 00:00:00.00 HA      900_226000791733 A4    1     3
D 2017-05-08 14:24:41.84 00:00:00.20 HA      900_226000791733 A3    2   185
D 2017-05-08 14:24:44.66 00:00:02.43 HA      900_226000791733 A3   13    12
D 2017-05-08 14:24:47.89 00:00:00.00 HA      900_226000791733 A3    1     3
D 2017-05-08 14:35:28.59 00:00:00.00 HR 0000_0000000180573731 A4    1  3277
D 2017-05-08 14:36:34.55 00:00:00.00 HR 0000_0000000180598569 A3    1  3509
D 2017-05-08 14:41:28.70 00:00:00.40 HA      900_226000791733 A4    3  1787
D 2017-05-08 14:41:29.50 00:00:00.00 HA      900_226000791733 A4    1     1
D 2017-05-08 14:50:26.23 00:00:00.20 HR 0000_0000000180573731 A4    2  2666
D 2017-05-08 15:05:23.90 00:00:00.00 HR 0000_0000000180573731 A4    1  4458
D 2017-05-08 15:20:21.70 00:00:00.00 HR 0000_0000000180573731 A4    1  4458
D 2017-05-08 15:34:23.13 00:00:00.20 HA      900_226000791733 A4    2  4178
D 2017-05-08 15:34:23.73 00:00:00.20 HA      900_226000791733 A4    2     1
D 2017-05-08 15:35:19.53 00:00:00.20 HR 0000_0000000180573731 A4    2   275
D 2017-05-08 15:36:25.49 00:00:00.00 HR 0000_0000000180598569 A3    1 17836
D 2017-05-08 15:50:17.15 00:00:00.20 HR 0000_0000000180573731 A4    2  4455
D 2017-05-08 15:51:22.90 00:00:00.21 HR 0000_0000000180598569 A3    2  4455
D 2017-05-08 16:05:14.75 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-08 16:06:20.52 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-08 16:20:11.78 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-08 16:21:17.74 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-08 16:36:15.18 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-08 16:50:05.41 00:00:00.00 HR 0000_0000000180573731 A4    1  8905
D 2017-05-08 16:51:12.57 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-08 17:05:02.18 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-08 17:06:10.15 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-08 17:19:59.11 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-08 17:21:07.48 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-08 17:34:55.71 00:00:00.20 HR 0000_0000000180573731 A4    2  4451
D 2017-05-08 17:36:04.68 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-08 17:49:52.52 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-08 17:51:02.30 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-08 18:04:49.09 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-08 18:05:59.68 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-08 18:19:45.70 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-08 18:20:57.10 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-08 18:35:54.33 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-08 18:49:38.72 00:00:00.00 HR 0000_0000000180573731 A4    1  8902
D 2017-05-08 18:50:51.72 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-08 19:04:35.10 00:00:00.00 HR 0000_0000000180573731 A4    1  4450
D 2017-05-08 19:05:48.89 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-08 19:19:31.67 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-08 19:20:45.89 00:00:00.20 HR 0000_0000000180598569 A3    2  4453
D 2017-05-08 19:34:28.25 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-08 19:35:43.07 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-08 19:49:24.85 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-08 19:50:40.26 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-08 20:04:21.40 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-08 20:05:37.24 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-08 20:19:17.96 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-08 20:20:34.39 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-08 20:34:14.51 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
