ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                 A3 0.86 A4 0.96 EA 0.55   11.9 V     3.3 V   13:40:53.26
Rx 0.20 Tx                 A3 0.86 A4 0.96 EA 0.55   11.9 V     3.3 V   13:40:53.77
Rx 0.21 Tx                 A3 0.86 A4 0.96 EA 0.56   11.9 V     3.3 V   13:40:54.28

>up
Upload #7
Reader: UPSTREAM 34  Site: AA
--------- upload 7 start ---------
E 2017-04-13 16:33:55.59 upload 6 complete
E 2017-04-13 16:46:15.83 supply power ok 12.3V
E 2017-04-13 16:46:15.83 database file opened
E 2017-04-13 16:46:15.83 starting reader after power up
E 2017-04-13 16:46:51.62 supply power ok 12.3V
E 2017-04-13 16:46:51.62 database file opened
E 2017-04-13 16:46:51.62 starting reader after power up
D 2017-04-13 16:47:38.73 00:00:00.00 HA      900_226000791702 A4    1   215
D 2017-04-13 16:47:38.35 00:00:00.00 HA      900_226000791702 A4    1     2
D 2017-04-13 16:47:40.75 00:00:00.00 HA      900_226000791702 A4    1     1
D 2017-04-13 16:47:40.16 00:00:00.20 HA      900_226000791702 A4    2     1
D 2017-04-13 16:47:47.00 00:00:00.20 HA      900_226000791702 A4    2    32
D 2017-04-13 16:47:48.21 00:00:00.00 HA      900_226000791702 A4    1     4
D 2017-04-13 16:47:48.81 00:00:00.00 HA      900_226000791702 A4    1     2
D 2017-04-13 16:47:49.43 00:00:00.00 HA      900_226000791702 A4    1     2
D 2017-04-13 16:47:49.83 00:00:00.00 HA      900_226000791702 A4    1     1
D 2017-04-13 16:47:55.87 00:00:00.00 HA      900_226000791702 A4    1    29
D 2017-04-13 16:47:58.09 00:00:00.20 HA      900_226000791702 A4    2    10
D 2017-04-13 16:47:59.30 00:00:00.00 HA      900_226000791702 A4    1     4
D 2017-04-13 16:48:50.53 00:00:00.62 HA      900_226000791733 A3    4   572
D 2017-04-13 16:48:52.16 00:00:00.40 HA      900_226000791733 A3    3     4
D 2017-04-13 16:57:14.46 00:00:00.00 HR 0000_0000000180573731 A4    1  2756
D 2017-04-13 17:12:12.05 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-04-13 17:27:09.45 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-04-13 17:42:06.86 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-04-13 17:57:04.08 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-04-13 18:12:01.46 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-04-13 18:26:58.65 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
