ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx A1 1.91                         EA 1.05   13.1 V     3.3 V   14:36:28.67
Rx 0.22 Tx A1 1.90 A2 0.81                 EA 0.78   13.1 V     3.3 V   14:36:29.19
Rx 0.21 Tx A1 1.90 A2 0.82                 EA 0.77   13.1 V     3.3 V   14:36:29.70

>up
Upload #21
Reader: DOWNSTREAM 12  Site: AA
--------- upload 21 start ---------
E 2017-05-25 13:25:33.24 upload 20 complete
E 2017-05-25 13:32:23.33 supply power ok 12.7V
E 2017-05-25 13:32:23.34 database file opened
E 2017-05-25 13:32:23.34 starting reader after power up
D 2017-05-25 13:32:36.19 00:00:00.60 HA      900_226000791733 A1    4    60
D 2017-05-25 13:32:38.79 23:59:59.81 HA      900_226000791733 A1    5     4
D 2017-05-25 13:32:39.61 00:00:00.80 HA      900_226000791733 A1    5     4
D 2017-05-25 13:32:41.42 00:00:00.61 HA      900_226000791733 A1    4     4
D 2017-05-25 13:32:43.63 00:00:00.00 HA      900_226000791733 A1    1     7
D 2017-05-25 13:32:44.04 00:00:00.00 HA      900_226000791733 A1    1     1
D 2017-05-25 13:32:44.84 00:00:00.61 HA      900_226000791733 A1    4     3
D 2017-05-25 13:32:54.81 00:00:01.81 HA      900_226000791733 A2   10   153
D 2017-05-25 13:32:57.23 00:00:01.00 HA      900_226000791733 A2    6     2
D 2017-05-25 13:32:58.83 00:00:00.00 HA      900_226000791733 A2    1     2
D 2017-05-25 13:34:58.26 00:00:00.00 HR 0000_0000000180843440 A2    1   592
D 2017-05-25 13:35:35.51 00:00:00.20 HA      900_226000791733 A2    2   184
D 2017-05-25 13:35:36.32 00:00:01.60 HA      900_226000791733 A2    4     2
D 2017-05-25 13:35:38.53 00:00:00.61 HA      900_226000791733 A2    4     7
D 2017-05-25 13:35:42.17 00:00:00.60 HA      900_226000791733 A2    4    14
D 2017-05-25 13:35:43.17 00:00:02.02 HA      900_226000791733 A2   11     1
D 2017-05-25 13:35:45.79 00:00:00.40 HA      900_226000791733 A2    3     2
D 2017-05-25 13:39:48.34 00:00:00.00 HR 0000_0000000180843403 A1    1  2099
D 2017-05-25 13:49:52.75 00:00:00.00 HR 0000_0000000180843440 A2    1  4203
D 2017-05-25 13:54:42.26 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-25 14:04:47.31 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-05-25 14:09:36.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-25 14:19:41.86 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-05-25 14:24:30.15 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-25 14:34:36.43 00:00:00.20 HR 0000_0000000180843440 A2    2  4441
D 2017-05-25 14:39:24.10 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-25 14:49:30.96 00:00:00.21 HR 0000_0000000180843440 A2    2  4440
D 2017-05-25 14:54:17.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-25 15:04:25.53 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-05-25 15:09:11.79 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-25 15:19:19.87 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-05-25 15:24:05.75 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-25 15:34:14.45 00:00:00.19 HR 0000_0000000180843440 A2    2  4441
D 2017-05-25 15:38:59.69 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-25 15:49:09.17 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-05-25 15:53:53.60 00:00:00.20 HR 0000_0000000180843403 A1    2  4438
