up 51
upload #51  start: 05/09/2013 12:47:03.93 records:     158
Site code: JUL
--------- upload 51 start ---------
05/09/2013 12:47:03.93 upload 50 complete
05/09/2013 12:50:53.33 supply power ok 12.8V
05/09/2013 12:50:53.33 database file opened
05/09/2013 12:50:53.33 starting reader after power up
05/09/2013 23:57:59.89  00:01:00.14 R 0000_0000000180843403 A1    2  6779
05/10/2013 00:11:28.34  00:00:00.13 R 0000_0000000180598569 A2    2 13951
05/10/2013 00:12:55.49  00:00:00.13 R 0000_0000000180843403 A1    2  6794
05/10/2013 00:27:51.09  00:00:00.14 R 0000_0000000180843403 A1    2  6792
05/10/2013 00:42:20.95  00:00:00.00 R 0000_0000000180598569 A2    1 13942
05/10/2013 00:42:46.70  00:00:00.14 R 0000_0000000180843403 A1    2  6787
05/10/2013 00:57:42.45  00:00:00.13 R 0000_0000000180843403 A1    2  6785
05/10/2013 01:12:38.03  00:00:00.14 R 0000_0000000180843403 A1    2  6799
05/10/2013 01:13:13.31  00:00:00.00 R 0000_0000000180598569 A2    1 13935
05/10/2013 01:27:33.61  00:00:00.13 R 0000_0000000180843403 A1    2  6801
05/10/2013 01:42:29.25  00:00:00.14 R 0000_0000000180843403 A1    2  6792
05/10/2013 01:44:05.82  00:00:00.00 R 0000_0000000180598569 A2    1 13926
05/10/2013 01:57:24.88  00:00:00.15 R 0000_0000000180843403 A1    2  6788
05/10/2013 02:12:20.61  00:00:00.13 R 0000_0000000180843403 A1    2  6799
05/10/2013 02:14:58.20  00:00:00.13 R 0000_0000000180598569 A2    2 13937
05/10/2013 02:27:16.33  00:00:00.00 R 0000_0000000180843403 A1    1  6793
05/10/2013 02:42:11.91  00:00:00.15 R 0000_0000000180843403 A1    2  6787
05/10/2013 02:45:50.51  00:00:00.14 R 0000_0000000180598569 A2    2 13938
05/10/2013 02:57:07.62  00:00:00.14 R 0000_0000000180843403 A1    2  6788
05/10/2013 03:12:03.24  00:00:00.14 R 0000_0000000180843403 A1    2  6793
05/10/2013 03:16:42.72  00:00:00.13 R 0000_0000000180598569 A2    2 13940
05/10/2013 03:26:59.03  00:00:00.14 R 0000_0000000180843403 A1    2  6782
05/10/2013 03:41:54.68  00:00:00.14 R 0000_0000000180843403 A1    2  6785
05/10/2013 03:47:35.05  00:00:00.00 R 0000_0000000180598569 A2    1 13957
05/10/2013 03:56:50.25  00:00:00.13 R 0000_0000000180843403 A1    2  6783
05/10/2013 04:11:45.91  00:00:00.15 R 0000_0000000180843403 A1    2  6786
05/10/2013 04:18:27.29  00:00:00.00 R 0000_0000000180598569 A2    1 13940
05/10/2013 04:26:41.60  00:00:00.14 R 0000_0000000180843403 A1    2  6800
05/10/2013 04:41:37.21  00:00:00.14 R 0000_0000000180843403 A1    2  6801
05/10/2013 04:49:19.59  00:00:00.14 R 0000_0000000180598569 A2    2 13919
05/10/2013 04:56:33.00  00:00:00.14 R 0000_0000000180843403 A1    2  6800
05/10/2013 05:11:28.70  00:00:00.14 R 0000_0000000180843403 A1    2  6810
05/10/2013 05:20:11.97  00:00:00.14 R 0000_0000000180598569 A2    2 13898
05/10/2013 05:26:24.41  00:00:00.00 R 0000_0000000180843403 A1    1  6809
05/10/2013 05:41:19.95  00:00:00.15 R 0000_0000000180843403 A1    2  6820
05/10/2013 05:51:04.51  00:00:00.13 R 0000_0000000180598569 A2    2 13891
05/10/2013 05:56:15.79  00:00:00.00 R 0000_0000000180843403 A1    1  6842
05/10/2013 06:11:11.25  00:00:00.14 R 0000_0000000180843403 A1    2  6838
05/10/2013 06:21:57.34  00:00:00.00 R 0000_0000000180598569 A2    1 13829
05/10/2013 06:26:06.90  00:00:00.14 R 0000_0000000180843403 A1    2  6837
05/10/2013 06:41:02.38  00:00:00.14 R 0000_0000000180843403 A1    2  6812
05/10/2013 06:52:50.35  00:00:00.00 R 0000_0000000180598569 A2    1 13899
05/10/2013 06:55:58.12  00:00:00.14 R 0000_0000000180843403 A1    2  6812
05/10/2013 07:10:53.64  00:00:00.14 R 0000_0000000180843403 A1    2  6825
05/10/2013 07:23:43.65  00:00:00.14 R 0000_0000000180598569 A2    2 13866
05/10/2013 07:25:49.33  00:00:00.00 R 0000_0000000180843403 A1    1  6834
05/10/2013 07:40:44.97  00:00:00.00 R 0000_0000000180843403 A1    1  6844
05/10/2013 07:54:37.46  00:00:00.00 R 0000_0000000180598569 A2    1 13849
05/10/2013 07:55:40.40  00:00:00.14 R 0000_0000000180843403 A1    2  6842
05/10/2013 08:10:35.85  00:00:59.15 R 0000_0000000180843403 A1    2  6860
05/10/2013 08:25:31.22  00:00:00.14 R 0000_0000000180598569 A2    2 13824
05/10/2013 08:25:31.29  00:00:00.00 R 0000_0000000180843403 A1    1  6842
05/10/2013 08:40:26.74  00:00:00.14 R 0000_0000000180843403 A1    2  6841
05/10/2013 08:55:22.28  00:00:00.00 R 0000_0000000180843403 A1    1  6830
05/10/2013 08:56:25.21  00:00:00.00 R 0000_0000000180598569 A2    1 13860
05/10/2013 09:10:17.84  00:00:00.00 R 0000_0000000180843403 A1    1  6839
05/10/2013 09:25:13.27  00:00:00.14 R 0000_0000000180843403 A1    2  6816
05/10/2013 09:27:19.34  00:00:00.13 R 0000_0000000180598569 A2    2 13878
05/10/2013 09:40:08.69  00:00:00.13 R 0000_0000000180843403 A1    2  6830
05/10/2013 09:55:04.05  00:00:00.14 R 0000_0000000180843403 A1    2  6836
05/10/2013 09:58:13.63  00:00:00.00 R 0000_0000000180598569 A2    1 13870
05/10/2013 10:09:59.45  00:00:00.14 R 0000_0000000180843403 A1    2  6843
05/10/2013 10:24:54.84  00:00:00.14 R 0000_0000000180843403 A1    2  6863
05/10/2013 10:29:07.55  00:00:00.13 R 0000_0000000180598569 A2    2 13799
05/10/2013 10:39:50.24  00:00:00.14 R 0000_0000000180843403 A1    2  6975
05/10/2013 10:54:45.63  00:00:00.14 R 0000_0000000180843403 A1    2  7086
05/10/2013 11:00:01.19  00:00:00.14 R 0000_0000000180598569 A2    2 13413
05/10/2013 11:09:40.89  00:00:00.15 R 0000_0000000180843403 A1    2  6997
05/10/2013 11:24:36.16  00:00:00.00 R 0000_0000000180843403 A1    1  7079
05/10/2013 11:30:54.73  00:00:00.14 R 0000_0000000180598569 A2    2 13394
05/10/2013 11:39:31.34  00:00:00.00 R 0000_0000000180843403 A1    1  7151
05/10/2013 11:54:26.59  00:00:00.00 R 0000_0000000180843403 A1    1  7280
05/10/2013 12:01:48.24  00:00:00.14 R 0000_0000000180598569 A2    2 12966
05/10/2013 12:09:21.69  00:00:00.14 R 0000_0000000180843403 A1    2  7266
05/10/2013 12:24:17.05  00:00:00.00 R 0000_0000000180843403 A1    1  7273
05/10/2013 12:32:41.59  00:00:00.13 R 0000_0000000180598569 A2    2 13018
05/10/2013 12:39:12.15  00:00:00.13 R 0000_0000000180843403 A1    2  7208
05/10/2013 12:53:19.49  00:00:00.68 A 00000 0 900 226000011030 A1    6  6572
05/10/2013 12:54:07.55  00:00:00.00 R 0000_0000000180843403 A1    1   366
05/10/2013 13:02:52.99 supply power ok 12.9V
05/10/2013 13:02:52.99 database file opened
05/10/2013 13:02:52.99 starting reader after power up
05/10/2013 13:03:35.05  00:00:00.14 R 0000_0000000180598569 A2    2   273
--------- history upload 51 done ---------

>
