ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx A1 0.95 A2 0.82                 EA 0.54   12.0 V     3.3 V   15:19:16.74
Rx 0.20 Tx A1 0.96 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:17.26
Rx 0.21 Tx A1 0.96 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:17.77
Rx 0.21 Tx A1 0.95 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:18.29
Rx 0.21 Tx A1 0.94 A2 0.82                 EA 0.54   12.0 V     3.3 V   15:19:18.80
Rx 0.23 Tx A1 0.91 A2 0.81                 EA 0.53   12.0 V     3.3 V   15:19:19.31
Rx 0.24 Tx A1 0.96 A2 0.81                 EA 0.56   12.0 V     3.3 V   15:19:19.82

>
2014-05-21 15:20:10.42 00:00:00.00 HR 0000_0000000180573731 A1   1 4149
2014-05-21 15:20:10.42 00:00:00.09 HR 0000_0000000180573731 A1   2
2014-05-21 15:20:10.42 00:00:00.09 HR 0000_0000000180573731 A1   2 4149 DETECT
up  

>up
Upload #18
Reader: Noname  Site: AA
--------- upload 18 start ---------
E 2014-05-19 16:17:03.55 upload 17 complete
D 2014-05-19 16:23:20.47 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:22.23 00:00:00.00 HR 0000_0000000181177673 A1    1    41
D 2014-05-19 16:23:23.06 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:23.89 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:25.81 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:23:26.65 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:26.48 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:27.40 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:23:28.24 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:29.07 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:29.98 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:23:30.82 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:31.66 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:32.57 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:23:33.41 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:34.41 00:00:00.00 HR 0000_0000000181177673 A1    1    23
D 2014-05-19 16:23:35.25 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:36.16 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:23:37.00 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:37.92 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:23:39.75 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:39.67 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:23:40.51 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:41.43 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:23:42.26 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:23:43.18 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:23:44.02 00:00:00.00 HR 0000_0000000181177673 A1    1    19
E 2014-05-19 16:23:45.56 parameter change: mux sequence '121212'
