ad
                           supply                    supply     clock
                            amps                      volts     volts
                                A4 0.84 EA 3.66   12.1 V     3.3 V   14:43:10.85
Rx 0.22 Tx                 A3 0.88 A4 0.84 EA 0.54   12.1 V     3.3 V   14:43:11.38
Rx 0.20 Tx                 A3 0.88 A4 0.82 EA 0.52   12.1 V     3.3 V   14:43:11.89
Rx 0.21 Tx                 A3 0.88 A4 0.84 EA 0.53   12.1 V     3.3 V   14:43:12.41

>up
Upload #26
Reader: UPSTREAM 34  Site: Up
--------- upload 26 start ---------
E 2019-06-13 14:38:39.29 upload 25 complete
E 2019-06-13 14:53:50.19 supply power ok 12.5V
E 2019-06-13 14:53:50.19 database file opened
E 2019-06-13 14:53:50.19 starting reader after power up
D 2019-06-13 15:31:10.93 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-13 15:31:13.55 00:00:00.00 HW 0000_0000000000004896 A3    1    12
D 2019-06-13 15:31:16.37 00:00:00.00 HW 0000_0000000000004896 A3    1    13
D 2019-06-13 15:31:17.78 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-13 15:31:19.79 00:00:00.00 HW 0000_0000000000004896 A3    1     4
D 2019-06-13 15:31:35.90 00:00:00.00 HW 0000_0000000000004896 A3    1    84
D 2019-06-13 15:31:37.33 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-13 15:32:05.31 00:00:00.21 HW 0000_0000000000004896 A3    2   138
D 2019-06-13 15:33:07.35 00:00:00.00 HW 0000_0000000000004896 A3    1   306
D 2019-06-13 15:33:30.11 00:00:00.00 HW 0000_0000000000004896 A3    1   112
D 2019-06-13 15:33:31.52 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-13 15:33:37.56 00:00:00.00 HW 0000_0000000000004896 A3    1    29
D 2019-06-13 15:33:41.59 00:00:00.00 HW 0000_0000000000004896 A3    1    19
D 2019-06-13 15:33:45.22 00:00:00.00 HW 0000_0000000000004896 A3    1    17
D 2019-06-13 15:33:46.62 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-13 15:33:51.66 00:00:00.00 HW 0000_0000000000004896 A3    1    24
D 2019-06-13 15:34:02.33 00:00:00.00 HW 0000_0000000000004896 A3    1    52
D 2019-06-13 15:34:03.74 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-13 15:34:19.45 00:00:00.00 HW 0000_0000000000004896 A3    1    77
D 2019-06-13 15:37:56.44 00:00:00.00 HR 0000_0000000180843403 A4    1  4434
D 2019-06-13 15:49:17.03 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 15:52:50.42 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 16:04:14.57 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 16:07:44.32 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 16:19:12.16 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 16:22:38.27 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 16:34:09.70 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 16:37:32.18 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 16:49:07.22 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 16:52:26.09 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 17:04:04.98 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-13 17:07:20.03 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 17:19:02.76 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-13 17:22:13.96 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 17:34:00.25 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 17:37:07.82 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 17:48:57.92 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-13 17:52:01.67 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 18:03:55.42 00:00:00.20 HW 0000_0000000000004896 A3    2  4456
D 2019-06-13 18:06:55.55 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 18:18:53.30 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-13 18:21:49.19 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-06-13 18:33:50.96 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
