ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                 A3 0.88 A4 0.86 EA 0.53   12.1 V     3.3 V   13:37:35.70
Rx 0.20 Tx                 A3 0.88 A4 0.86 EA 0.53   12.1 V     3.3 V   13:37:36.23
Rx 0.20 Tx                 A3 0.88 A4 0.86 EA 0.53   12.1 V     3.3 V   13:37:36.74

>up
Upload #20
Reader: UPSTREAM 34  Site: Up
--------- upload 20 start ---------
E 2019-05-23 16:00:38.35 upload 19 complete
E 2019-05-23 16:03:46.65 supply power ok 12.6V
E 2019-05-23 16:03:46.65 database file opened
E 2019-05-23 16:03:46.65 starting reader after power up
D 2019-05-23 16:03:57.14 00:00:00.20 HA      900_228000093612 A4    2    33
D 2019-05-23 16:03:57.74 00:00:00.20 HA      900_228000093612 A4    2     1
D 2019-05-23 16:04:04.38 00:00:00.00 HA      900_226000791727 A4    1    31
D 2019-05-23 16:04:04.78 00:00:00.00 HA      900_226000791727 A4    1     1
D 2019-05-23 16:04:07.11 00:00:00.40 HA      900_226000791733 A3    3    82
D 2019-05-23 16:04:07.91 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-05-23 16:04:12.15 00:00:00.20 HA      900_226000791733 A3    2    20
D 2019-05-23 16:04:12.96 23:59:59.20 HA      900_226000791733 A3    2     2
D 2019-05-23 16:06:18.91 00:00:00.21 HR 0000_0000000180843403 A4    2   665
D 2019-05-23 16:17:54.73 00:00:00.00 HW 0000_0000000000004896 A3    1  4079
D 2019-05-23 16:21:13.58 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-23 16:32:52.43 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-23 16:47:50.02 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-23 16:51:02.64 00:00:00.00 HR 0000_0000000180843403 A4    1  8882
D 2019-05-23 17:02:47.53 00:00:00.20 HW 0000_0000000000004896 A3    2  4456
D 2019-05-23 17:05:57.10 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-23 17:17:45.18 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-23 17:20:51.54 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-23 17:32:42.81 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-23 17:35:45.94 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-23 17:47:40.43 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-23 17:50:40.14 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-23 18:02:38.08 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-23 18:05:34.37 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-23 18:17:35.71 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-23 18:20:28.78 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-23 18:32:33.18 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-23 18:35:23.02 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-23 18:47:30.67 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-23 18:50:17.30 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-23 19:02:28.16 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-23 19:05:11.57 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-23 19:17:25.49 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-23 19:32:22.84 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-23 19:35:00.00 00:00:00.00 HR 0000_0000000180843403 A4    1  8880
D 2019-05-23 19:47:20.41 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-23 19:49:54.36 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-23 20:02:17.68 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-23 20:04:48.63 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-23 20:17:15.04 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-23 20:19:42.75 00:00:00.20 HR 0000_0000000180843403 A4    2  4439
D 2019-05-23 20:32:12.21 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-23 20:34:37.09 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-23 20:47:09.51 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-23 20:49:31.37 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-23 21:02:06.59 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-05-23 21:04:25.45 00:00:00.20 HR 0000_0000000180843403 A4    2  4439
D 2019-05-23 21:17:03.73 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-23 21:19:19.82 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-05-23 21:32:00.78 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-23 21:49:08.26 00:00:00.00 HR 0000_0000000180843403 A4    1  8886
D 2019-05-23 22:01:54.97 00:00:00.00 HW 0000_0000000000004896 A3    1  8912
D 2019-05-23 22:04:02.51 00:00:00.20 HR 0000_0000000180843403 A4    2  4441
D 2019-05-23 22:16:52.19 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-23 22:31:49.32 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-23 22:33:51.17 00:00:00.00 HR 0000_0000000180843403 A4    1  8885
D 2019-05-23 22:46:46.80 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-23 22:48:45.41 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-05-23 23:01:43.92 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-23 23:03:39.51 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-05-23 23:16:41.24 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-23 23:31:38.53 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-23 23:33:28.07 00:00:00.00 HR 0000_0000000180843403 A4    1  8889
D 2019-05-23 23:46:35.65 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-23 23:48:22.17 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-05-24 00:01:32.94 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 00:16:30.25 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 00:18:10.57 00:00:00.00 HR 0000_0000000180843403 A4    1  8888
D 2019-05-24 00:31:27.53 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-24 00:46:24.78 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-24 00:47:58.83 00:00:00.21 HR 0000_0000000180843403 A4    2  8884
D 2019-05-24 01:01:22.09 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 01:02:53.14 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-05-24 01:16:19.31 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 01:17:47.37 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-05-24 01:31:16.62 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 01:46:13.98 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 01:47:35.76 00:00:00.00 HR 0000_0000000180843403 A4    1  8887
D 2019-05-24 02:01:11.31 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 02:02:29.87 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-05-24 02:16:08.59 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 02:17:24.15 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-05-24 02:31:06.00 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 02:32:18.33 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-05-24 02:46:03.44 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 02:47:12.55 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-05-24 03:01:00.59 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 03:02:06.73 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-05-24 03:15:57.81 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-24 03:30:55.02 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 03:31:54.87 00:00:00.20 HR 0000_0000000180843403 A4    2  8886
D 2019-05-24 03:45:52.24 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 03:46:49.07 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-05-24 04:00:49.56 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 04:01:43.39 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-05-24 04:15:46.68 00:00:00.20 HW 0000_0000000000004896 A3    2  4458
D 2019-05-24 04:16:37.49 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-05-24 04:30:43.96 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-24 04:31:31.81 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-24 04:46:26.04 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 05:00:38.30 00:00:00.00 HW 0000_0000000000004896 A3    1  8909
D 2019-05-24 05:01:20.49 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-24 05:15:35.43 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-05-24 05:16:14.61 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 05:30:32.69 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-24 05:31:09.04 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-24 05:45:29.92 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-24 05:46:03.44 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-24 06:00:27.16 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-24 06:00:57.68 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-24 06:15:24.48 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-24 06:15:51.76 00:00:00.20 HR 0000_0000000180843403 A4    2  4439
D 2019-05-24 06:30:21.72 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-24 06:30:45.98 00:00:00.21 HR 0000_0000000180843403 A4    2  4439
D 2019-05-24 06:45:18.98 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-24 06:45:40.23 00:00:00.20 HR 0000_0000000180843403 A4    2  4439
D 2019-05-24 07:00:16.42 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-24 07:00:34.64 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-24 07:15:13.66 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-24 07:15:28.87 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-24 07:30:11.08 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-24 07:30:23.07 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-24 07:45:08.34 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-24 07:45:17.30 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-24 08:00:05.77 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-24 08:00:11.52 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-24 08:15:03.48 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-24 08:15:05.79 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-24 08:29:59.91 00:00:00.20 HR 0000_0000000180843403 A4    2  4439
D 2019-05-24 08:30:01.02 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-24 08:44:54.20 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 08:44:58.73 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-24 08:59:48.34 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 08:59:56.49 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-24 09:14:42.50 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 09:14:54.48 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 09:29:36.61 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 09:29:52.42 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 09:44:30.72 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 09:44:50.36 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 09:59:24.65 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-24 09:59:48.33 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 10:14:18.78 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 10:14:46.27 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 10:29:12.73 00:00:00.20 HR 0000_0000000180843403 A4    2  4438
D 2019-05-24 10:29:44.46 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 10:44:06.88 00:00:00.21 HR 0000_0000000180843403 A4    2  4438
D 2019-05-24 10:44:42.64 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-24 10:59:01.07 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-24 10:59:40.64 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-24 11:13:55.19 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 11:14:38.98 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-24 11:28:49.32 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 11:29:37.56 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
D 2019-05-24 11:43:43.27 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-24 11:44:35.94 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-24 11:58:37.39 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 11:59:34.49 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
D 2019-05-24 12:13:31.51 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 12:14:32.82 00:00:00.21 HW 0000_0000000000004896 A3    2  4460
D 2019-05-24 12:28:25.57 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 12:29:31.51 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
D 2019-05-24 12:43:19.65 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-24 12:44:30.03 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
D 2019-05-24 12:58:13.51 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-24 12:59:28.72 00:00:00.00 HW 0000_0000000000004896 A3    1  4462
D 2019-05-24 13:13:07.42 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-24 13:14:27.27 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
