up
Upload #19
Reader: Noame  Site: AAяяяяяяя
--------- upload 19 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-06-18 14:30:01.27 upload 18 complete
E 2018-06-18 14:31:22.04 supply power ok 11.4V
E 2018-06-18 14:31:22.04 database file opened
E 2018-06-18 14:31:22.04 starting reader after power up
E 2018-06-18 14:38:02.30 supply power ok 12.2V
E 2018-06-18 14:38:02.30 database file opened
E 2018-06-18 14:38:02.30 starting reader after power up
D 2018-06-18 14:38:12.48 00:00:01.41 HA      900_228000093612 A1    8    20
D 2018-06-18 14:38:23.95 00:00:00.41 HA      900_226000791727 A1    3    49
D 2018-06-18 14:38:24.76 00:00:00.00 HA      900_226000791727 A1    1     1
D 2018-06-18 14:38:27.98 00:00:00.21 HA      900_226000791727 A1    2    15
D 2018-06-18 14:38:29.79 00:00:01.01 HA      900_226000791727 A1    6     7
D 2018-06-18 14:38:35.54 00:00:00.80 HA      900_226000791733 A2    5   135
D 2018-06-18 14:38:36.74 00:00:00.61 HA      900_226000791733 A2    4     1
D 2018-06-18 14:41:04.23 00:00:00.00 HR 0000_0000000180598569 A1    1   761
D 2018-06-18 14:56:00.86 00:00:00.20 HR 0000_0000000180598569 A1    2  4452
D 2018-06-18 15:10:57.71 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-06-18 15:17:31.28 00:00:00.00 HR 0000_0000000180843403 A2    1 11590
D 2018-06-18 15:25:54.36 00:00:00.20 HR 0000_0000000180598569 A1    2  4452
D 2018-06-18 15:32:25.30 00:00:00.20 HR 0000_0000000180843403 A2    2  4439
D 2018-06-18 15:40:51.20 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-06-18 15:47:19.54 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-06-18 15:55:47.87 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-06-18 16:02:13.57 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-06-18 16:10:44.73 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2018-06-18 16:17:07.83 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-06-18 16:25:41.41 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-06-18 16:32:02.08 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-06-18 16:40:38.09 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-06-18 16:46:56.33 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-06-18 16:55:34.76 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-06-18 17:01:50.41 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-06-18 17:10:31.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-06-18 17:16:45.03 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2018-06-18 17:25:28.24 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2018-06-18 17:31:39.27 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-06-18 17:40:24.94 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-06-18 17:46:33.52 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-06-18 17:55:21.60 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
