"tag_short","Common.Name","tag_time","first_ping_A1","first_ping_A4","last_ping_A1","last_ping_A4","n_A1","n_A4","Date.and.Time","Species","Photo.ID","Tag.Number","Total.Length..mm.","attraction.days","staging.days","transit.days","passage.days"
"000011019","Blueback Herring",2014-05-16 11:25:00,2014-05-05 08:10:03.26,2014-05-05 08:01:15.07,2014-05-05 08:11:54.74,2014-05-05 08:13:20.13,34,23,"5/16/2014 11:25","Alosa aestivalis","","226000011019","250",-11.1353788194447,0.00129016203736817,0.000988310186399354,-11.1331003472209
"000011021","Blueback Herring",2017-05-11 11:39:00,2014-05-09 13:13:20.02,2014-05-15 14:28:10.94,2014-05-15 15:40:10.42,2014-05-15 15:39:29.27,973,107,"5/11/17 11:39","Alosa aestivalis","","226000011021","254",-1097.93449039352,6.1019721064827,-0.000476157408621576,-1091.83299444444
"000080257","Blueback Herring",2014-05-19 11:26:00,NA,2014-04-28 15:18:58.41,NA,2014-04-28 15:33:09.95,NA,125,"5/19/2014 11:26","Alosa aestivalis","","226000080257","257",NA,NA,NA,-20.8283570601846
"000080276","Blueback Herring",2014-05-27 11:30:00,NA,2014-05-06 11:44:40.70,NA,2014-05-06 11:47:00.24,NA,38,"5/27/2014 11:30","Alosa aestivalis","","226000080276","254",NA,NA,NA,-20.9881916666666
"000080292","Striped Bass",2016-05-09 12:00:00,NA,2014-04-08 09:18:06.49,NA,2014-04-08 09:18:10.55,NA,7,"5/9/2016 12:00","Morone saxatilis","","900226000080292","225",NA,NA,NA,-762.112377777778
"000080314","Blueback Herring",2014-05-16 11:25:00,2014-05-02 10:54:11.20,2014-05-02 10:56:40.25,2014-05-02 10:57:23.54,2014-05-02 10:56:59.83,26,14,"5/16/2014 11:25","Alosa aestivalis","","226000080314","260",-14.0213981481476,0.00222627314704436,-0.000274421296737812,-14.0194462962973
"000080316","River Herring",2019-04-24 10:46:00,NA,2014-04-28 15:44:15.11,NA,2014-04-28 15:58:54.91,NA,54,"4/24/19 10:46","-","Blueback Herring","226000080316","285",NA,NA,NA,-1821.78269780093
"178695685","American Shad",2014-04-22 09:00:00,NA,2014-04-08 09:09:31.28,NA,2014-05-09 15:15:13.86,NA,52,"4/22/2014 9:00","Alosa sapidissima","","178695685","507",NA,NA,NA,17.2605771990727
"181177663","American Shad",2016-04-25 13:00:00,2014-05-15 15:35:51.18,2014-05-15 14:33:58.49,2014-05-17 18:43:29.79,2014-05-17 18:43:28.83,49,182,"4/25/2016 13:00","Alosa sapidissima","","181177663","493",-710.891768749999,2.13030810185053,-1.1111111552627e-05,-708.76147175926
"181177672","American Shad",2014-05-07 09:03:00,NA,2014-05-06 11:22:21.26,NA,2014-05-06 11:43:56.63,NA,21,"5/7/2014 9:03","Alosa sapidissima","","181177672","535",NA,NA,NA,-0.888233449072749
"181177697","American Shad",2014-05-26 09:30:00,2014-05-25 13:42:23.19,2014-05-25 13:34:16.69,2014-05-25 13:45:42.86,2014-05-25 13:36:21.03,9,3,"5/26/2014 9:30","Alosa sapidissima","","181177697","530",-0.82473159722156,0.0023109953712534,-0.00650254629828312,-0.82892314814859
