"tag_short","Common.Name","tag_time","first_ping_A1","first_ping_A2","first_ping_A3","first_ping_A4","last_ping_A1","last_ping_A2","last_ping_A3","last_ping_A4","n_A1","n_A2","n_A3","n_A4","attraction.days","staging.days","transit.days","passage.days"
"000080301","Quillback",2016-04-29 12:00:00,2018-05-16 08:54:18.92,2018-05-16 08:55:09.57,NA,NA,2018-05-16 10:16:35.27,2018-05-16 10:16:31.34,NA,NA,2,2,NA,NA,746.871052314816,0.0571337962950821,NA,NA
"181177668","Quillback",2016-04-26 12:00:00,2018-04-26 08:22:33.21,NA,2018-04-26 16:25:56.86,2018-04-27 06:19:35.92,2018-04-26 15:48:24.32,NA,2018-04-26 23:01:22.32,2018-04-27 06:19:35.92,25,NA,24,1,729.848995486112,0.309619328705249,0.604995486107137,730.763610300924
