"tag_short","Common.Name","tag_time","first_ping_A1","first_ping_A2","first_ping_A3","first_ping_A4","last_ping_A1","last_ping_A2","last_ping_A3","last_ping_A4","n_A1","n_A2","n_A3","n_A4","attraction.days","staging.days","transit.days","passage.days"
"000008985","American Shad",2016-05-02 13:00:00,2016-05-08 12:00:54.77,2016-05-08 15:25:45.38,2016-05-08 16:32:56.11,2016-05-08 16:32:16.73,2016-05-08 15:25:22.11,2016-05-08 15:25:45.38,2016-05-08 16:32:56.11,2016-05-08 16:32:16.73,13,1,1,1,5.95896736111078,0.141983101850858,0.0464653935200638,6.1474158564817
"000008986","American Shad",2016-05-02 13:00:00,2016-05-13 13:07:38.44,2016-05-13 13:07:45.98,2016-05-13 16:08:08.25,2016-05-13 16:06:16.59,2016-05-13 14:54:45.59,2016-05-13 14:54:59.99,2016-05-30 03:00:10.06,2016-05-13 16:07:21.83,10,4,11,3,11.0053060185192,0.0743884259241599,0.0504194444445548,11.1301138888879
"000008995","Gizzard Shad",2016-04-12 12:00:00,2016-04-25 01:55:22.11,2016-04-25 01:55:25.83,2016-04-25 04:02:00.69,2016-04-25 03:18:19.51,2016-05-22 11:54:30.30,2016-05-22 11:59:54.20,2016-05-22 13:56:53.25,2016-05-22 13:55:39.25,7,4,2,10,12.5801171296283,27.4160670138896,0.0841312500006623,40.0803153935185
"000011005","River Herring",2018-04-24 12:22:00,NA,NA,2016-03-02 13:56:18.50,NA,NA,NA,2016-03-02 14:02:03.61,NA,NA,NA,8,NA,NA,NA,NA,NA
"000080283","Sea Lamprey",2016-04-26 12:00:00,2016-05-01 00:27:40.88,2016-05-03 15:39:33.40,NA,NA,2016-05-10 08:55:07.80,2016-05-03 16:53:30.38,NA,NA,24,5,NA,NA,4.51922326388734,9.35239490740829,NA,NA
"000080292","Striped Bass",2016-05-09 12:00:00,2016-06-20 19:10:10.38,2016-06-20 19:15:51.15,2016-06-20 20:50:55.61,2016-06-20 20:47:32.97,2016-06-20 19:10:10.38,2016-06-20 19:24:38.84,2016-06-20 20:50:55.61,2016-06-20 20:47:32.97,1,10,1,1,42.2987313657392,0,0.0676224537055801,42.3663538194448
"000080317","River Herring",2018-04-24 11:56:00,NA,NA,2016-02-25 11:45:02.75,2016-02-25 12:38:24.02,NA,NA,2016-02-25 11:45:32.61,2016-02-25 12:39:34.74,NA,NA,19,11,NA,NA,NA,-788.928070138889
"000093621","American Shad",2016-05-17 13:00:00,2016-05-23 11:18:26.32,2016-05-23 11:39:46.54,2016-05-23 12:51:12.04,2016-05-23 12:50:31.08,2016-05-23 11:39:20.67,2016-05-23 11:39:48.75,2016-05-23 12:51:14.67,2016-05-23 12:50:31.68,6,3,3,3,5.92947141203615,0.0145178240758401,0.0494329861110007,5.99342222222299
"000093623","American Shad",2016-05-18 13:00:00,2016-05-21 14:32:48.07,2016-05-21 15:04:56.95,2016-05-21 16:43:04.13,2016-05-21 16:24:21.19,2016-05-21 15:04:15.36,2016-05-21 15:04:59.18,2016-05-21 16:43:19.49,2016-05-21 16:38:57.16,4,3,3,14,3.06444537036949,0.0218435185209469,0.0657615740735222,3.15205046296396
"181177663","American Shad",2016-04-25 13:00:00,2016-04-25 19:26:34.95,2016-04-25 19:26:41.29,2016-04-28 17:42:16.28,2016-04-28 17:40:58.06,2016-04-28 16:17:43.18,2016-04-28 16:20:04.42,2016-04-28 17:42:16.28,2016-04-28 17:40:58.06,7,7,1,1,0.268460069444996,2.86884525462985,0.0578112268503065,3.19511655092515
"181177665","Large Mouth Bass",2016-04-25 13:00:00,2016-05-28 08:28:00.45,2016-05-28 08:34:41.00,NA,2016-05-28 13:27:09.50,2016-06-10 07:10:06.93,2016-06-09 12:13:58.38,NA,2016-05-28 17:18:48.02,25,17,NA,2,32.811116319445,12.9459083333336,-12.5773020833344,33.1797225694441
"181177668","Quillback",2016-04-26 12:00:00,2016-05-04 02:29:23.00,2016-05-04 05:37:48.97,2016-05-06 08:06:46.33,2016-05-06 07:43:12.24,2016-05-04 05:37:29.13,2016-05-04 05:37:49.56,2016-06-29 02:40:28.83,2016-05-06 07:43:12.24,3,2,37,1,7.60373854166656,0.130626504628195,2.0873043981498,9.82166944444455
"181177694","Blueback Herring",2015-05-08 10:30:00,2016-04-20 05:36:30.96,2016-04-29 11:31:15.45,NA,NA,2016-04-29 11:31:18.17,2016-04-29 11:31:15.45,NA,NA,6,1,NA,NA,347.796191666667,9.24637974537081,NA,NA
