"file","date","time","datetime","antenna","tag","tag_short"
"3_20_19 Down.TXT",2019-03-19,"17:12:56.89",2019-03-19 17:12:56.88,"A2","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"17:14:45.01",2019-03-19 17:14:45.00,"A4","900_228000093612","000093612"
"3_20_19 Up.TXT",2019-03-19,"17:14:50.85",2019-03-19 17:14:50.84,"A4","900_226000791727","000791727"
"3_20_19 Up.TXT",2019-03-19,"17:14:51.07",2019-03-19 17:14:51.07,"A4","900_226000791727","000791727"
"3_20_19 Up.TXT",2019-03-19,"17:15:09.71",2019-03-19 17:15:09.71,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"17:15:11.12",2019-03-19 17:15:11.11,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"17:15:11.52",2019-03-19 17:15:11.51,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"17:15:11.53",2019-03-19 17:15:11.52,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"17:15:11.92",2019-03-19 17:15:11.92,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"17:15:13.13",2019-03-19 17:15:13.13,"A3","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"17:15:37.68",2019-03-19 17:15:37.67,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"17:15:38.10",2019-03-19 17:15:38.09,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"17:16:03.97",2019-03-19 17:16:03.97,"A1","900_226000791727","000791727"
"3_20_19 Down.TXT",2019-03-19,"17:16:11.02",2019-03-19 17:16:11.01,"A1","900_228000093612","000093612"
"3_20_19 Down.TXT",2019-03-19,"17:16:14.44",2019-03-19 17:16:14.44,"A1","900_228000093612","000093612"
"3_20_19 Up.TXT",2019-03-19,"17:31:15.02",2019-03-19 17:31:15.01,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:15.62",2019-03-19 17:31:15.61,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:22.85",2019-03-19 17:31:22.84,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:23.86",2019-03-19 17:31:23.86,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:25.27",2019-03-19 17:31:25.26,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:26.88",2019-03-19 17:31:26.88,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:28.49",2019-03-19 17:31:28.49,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:30.11",2019-03-19 17:31:30.11,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:31.52",2019-03-19 17:31:31.51,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:38.76",2019-03-19 17:31:38.75,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:40.18",2019-03-19 17:31:40.17,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:41.79",2019-03-19 17:31:41.78,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:43.01",2019-03-19 17:31:43.00,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:31:44.01",2019-03-19 17:31:44.00,"A4","0000_0000000180843403","180843403"
