"file","date","time","datetime","antenna","tag","tag_short","year"
"3_30_17 Down.TXT",2017-03-24,"22:17:33.47",2017-03-24 22:17:33.47,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"22:22:55.71",2017-03-24 22:22:55.71,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-24,"22:28:18.01",2017-03-24 22:28:18.00,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"22:28:18.01",2017-03-24 22:28:18.00,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-24,"22:28:21.26",2017-03-24 22:28:21.25,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"22:32:28.02",2017-03-24 22:32:28.01,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"22:32:28.02",2017-03-24 22:32:28.01,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"22:37:52.07",2017-03-24 22:37:52.07,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-24,"22:43:11.31",2017-03-24 22:43:11.30,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"22:43:11.31",2017-03-24 22:43:11.30,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-24,"22:43:17.97",2017-03-24 22:43:17.97,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"22:47:22.56",2017-03-24 22:47:22.55,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"22:47:22.56",2017-03-24 22:47:22.55,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"22:52:48.40",2017-03-24 22:52:48.40,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-24,"22:58:04.66",2017-03-24 22:58:04.65,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"22:58:04.66",2017-03-24 22:58:04.65,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-24,"22:58:14.54",2017-03-24 22:58:14.53,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"23:02:17.09",2017-03-24 23:02:17.09,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"23:02:17.09",2017-03-24 23:02:17.09,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"23:07:44.92",2017-03-24 23:07:44.92,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-24,"23:12:57.95",2017-03-24 23:12:57.95,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"23:12:57.95",2017-03-24 23:12:57.95,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-24,"23:13:11.04",2017-03-24 23:13:11.03,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"23:17:11.59",2017-03-24 23:17:11.59,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"23:17:11.59",2017-03-24 23:17:11.59,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"23:22:41.26",2017-03-24 23:22:41.25,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-24,"23:27:51.10",2017-03-24 23:27:51.09,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"23:27:51.10",2017-03-24 23:27:51.09,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-24,"23:28:07.60",2017-03-24 23:28:07.59,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"23:32:06.15",2017-03-24 23:32:06.15,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"23:32:06.15",2017-03-24 23:32:06.15,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"23:37:37.59",2017-03-24 23:37:37.59,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-24,"23:42:44.24",2017-03-24 23:42:44.24,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"23:42:44.24",2017-03-24 23:42:44.24,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-24,"23:43:04.15",2017-03-24 23:43:04.15,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"23:47:00.70",2017-03-24 23:47:00.70,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"23:47:00.70",2017-03-24 23:47:00.70,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"23:52:33.97",2017-03-24 23:52:33.97,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-24,"23:57:37.41",2017-03-24 23:57:37.40,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"23:57:37.41",2017-03-24 23:57:37.40,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-24,"23:58:00.53",2017-03-24 23:58:00.52,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"00:01:55.28",2017-03-25 00:01:55.27,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"00:01:55.28",2017-03-25 00:01:55.27,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"00:07:30.55",2017-03-25 00:07:30.54,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"00:12:30.76",2017-03-25 00:12:30.75,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"00:12:30.76",2017-03-25 00:12:30.75,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"00:12:57.30",2017-03-25 00:12:57.29,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"00:16:49.86",2017-03-25 00:16:49.86,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"00:16:49.86",2017-03-25 00:16:49.86,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"00:22:26.90",2017-03-25 00:22:26.90,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"00:27:23.92",2017-03-25 00:27:23.92,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"00:27:23.92",2017-03-25 00:27:23.92,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"00:27:53.66",2017-03-25 00:27:53.65,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"00:31:44.65",2017-03-25 00:31:44.65,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"00:31:44.65",2017-03-25 00:31:44.65,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"00:37:23.30",2017-03-25 00:37:23.29,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"00:42:17.09",2017-03-25 00:42:17.09,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"00:42:17.09",2017-03-25 00:42:17.09,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"00:42:50.26",2017-03-25 00:42:50.25,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"00:46:39.21",2017-03-25 00:46:39.21,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"00:46:39.21",2017-03-25 00:46:39.21,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"00:52:19.65",2017-03-25 00:52:19.65,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"00:57:10.23",2017-03-25 00:57:10.23,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"00:57:10.23",2017-03-25 00:57:10.23,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"00:57:46.78",2017-03-25 00:57:46.77,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"01:01:33.94",2017-03-25 01:01:33.94,"A1","0000_0000000180843403","180843403","2017"
