"tag_short","ping_time","antenna","tag_time","species"
"166983459",2012-04-15 13:54:25.41,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:25.41,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:27.32,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:27.32,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:29.24,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:29.24,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:31.15,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:31.15,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:33.06,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:33.06,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:38.41,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:38.41,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:38.79,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:38.79,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:53.09,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:53.09,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:53.49,"A4",2012-05-01 13:30:00,"Alewife"
"166983459",2012-04-15 13:54:53.49,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:04.44,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:04.44,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:08.26,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:08.26,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:28.08,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:28.08,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:35.73,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:35.73,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:39.55,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:39.55,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:41.47,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:56:41.47,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:13.38,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:13.38,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:13.98,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:13.98,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:21.63,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:21.63,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:24.15,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:24.15,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:27.97,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:27.97,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:30.49,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:30.49,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:32.40,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:32.40,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:34.30,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:34.30,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:34.91,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 13:57:34.91,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:05.22,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:05.22,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:05.81,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:05.81,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:12.67,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:12.67,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:16.00,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:16.00,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:16.40,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:16.40,"A4",2012-05-01 13:30:00,"Alewife"
