up6
Upload #6, 968 records
Reader: Noname  Site: AA
--------- upload 6 start ---------
E 2016-03-18 09:38:07.09 upload 5 complete
E 2016-03-18 09:41:16.11 parameter change: mux sequence '13'
D 2016-03-18 10:09:29.65 00:00:03.23 HA      900_226000080333 A1   17     1
E 2016-03-18 10:14:40.39 supply power ok 11.8V
E 2016-03-18 10:14:40.39 database file opened
E 2016-03-18 10:14:40.39 starting reader after power up
D 2016-03-18 10:15:22.85 00:00:01.63 HA      900_226000791719 A3    9   191
D 2016-03-18 10:15:26.69 00:00:02.43 HA      900_226000791719 A3   13    10
D 2016-03-18 10:15:48.14 00:00:00.60 HA      900_226000080333 A1    4   317
D 2016-03-18 10:15:50.36 00:00:00.20 HA      900_226000080333 A1    2     7
D 2016-03-18 10:15:50.96 00:00:00.61 HA      900_226000080333 A1    4     1
D 2016-03-18 10:15:51.97 00:00:03.65 HA      900_226000080333 A1   19     1
D 2016-03-18 10:15:55.02 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:15:55.42 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:16:34.16 00:00:00.00 HR 0000_0000000180573731 A3    1   322
D 2016-03-18 10:19:40.62 00:00:00.00 HR 0000_0000000180843403 A1    1  1113
D 2016-03-18 10:29:36.52 00:00:00.00 HA      900_226000080333 A1    1  2960
D 2016-03-18 10:29:48.61 00:00:00.60 HA      900_226000080333 A1    4    59
D 2016-03-18 10:29:51.44 00:00:00.80 HA      900_226000080333 A1    5    10
D 2016-03-18 10:29:52.64 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:29:54.46 00:00:00.61 HA      900_226000080333 A1    4     8
D 2016-03-18 10:29:55.67 00:00:00.81 HA      900_226000080333 A1    5     2
D 2016-03-18 10:29:58.10 00:00:00.20 HA      900_226000080333 A1    2     7
D 2016-03-18 10:29:58.70 00:00:00.61 HA      900_226000080333 A1    4     1
D 2016-03-18 10:29:59.91 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-03-18 10:30:00.32 00:00:00.40 HA      900_226000080333 A1    3     1
D 2016-03-18 10:30:01.33 00:00:00.81 HA      900_226000080333 A1    5     2
D 2016-03-18 10:30:02.54 00:00:01.21 HA      900_226000080333 A1    7     1
D 2016-03-18 10:30:03.15 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:30:03.56 00:00:01.61 HA      900_226000080333 A1    4     1
D 2016-03-18 10:30:05.57 00:00:01.21 HA      900_226000080333 A1    7     1
D 2016-03-18 10:30:06.18 00:00:02.02 HA      900_226000080333 A1    6     1
D 2016-03-18 10:30:08.60 00:00:01.21 HA      900_226000080333 A1    7     1
D 2016-03-18 10:30:10.21 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:30:12.44 00:00:00.00 HA      900_226000080333 A1    1    10
D 2016-03-18 10:30:12.84 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:30:12.24 00:00:01.20 HA      900_226000080333 A1    2     1
D 2016-03-18 10:30:13.84 23:59:59.21 HA      900_226000080333 A1    2     1
D 2016-03-18 10:30:16.27 00:00:00.81 HA      900_226000080333 A1    5    10
D 2016-03-18 10:31:31.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2016-03-18 10:34:35.85 00:00:00.00 HR 0000_0000000180843403 A1    1  1285
D 2016-03-18 10:42:34.62 00:00:00.61 HA      900_226000080333 A1    4  2378
D 2016-03-18 10:42:36.43 00:00:00.00 HA      900_226000080333 A1    1     5
D 2016-03-18 10:42:37.65 00:00:00.00 HA      900_226000080333 A1    1     5
D 2016-03-18 10:42:37.06 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-03-18 10:42:39.26 00:00:00.60 HA      900_226000080333 A1    4     4
D 2016-03-18 10:42:40.27 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:42:41.69 00:00:00.40 HA      900_226000080333 A1    3     6
D 2016-03-18 10:42:42.49 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:42:42.10 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-03-18 10:42:42.50 00:00:01.61 HA      900_226000080333 A1    4     1
D 2016-03-18 10:42:44.72 00:00:00.61 HA      900_226000080333 A1    4     2
D 2016-03-18 10:42:47.74 00:00:00.00 HA      900_226000080333 A1    1    11
D 2016-03-18 10:42:47.16 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:42:49.96 00:00:00.00 HA      900_226000080333 A1    1     3
D 2016-03-18 10:42:49.96 00:00:00.00 HA      900_226000080333 A1    1     4
D 2016-03-18 10:42:50.37 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:42:50.38 00:00:01.21 HA      900_226000080333 A1    2     4
D 2016-03-18 10:42:53.40 00:00:00.81 HA      900_226000080333 A1    5     8
D 2016-03-18 10:42:54.61 23:59:59.40 HA      900_226000080333 A1    3     1
D 2016-03-18 10:42:55.42 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 10:46:29.74 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2016-03-18 11:01:28.14 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2016-03-18 11:04:26.62 00:00:00.00 HR 0000_0000000180843403 A1    1  6413
D 2016-03-18 11:15:24.61 00:00:00.81 HA      900_226000080333 A1    5  3267
D 2016-03-18 11:15:33.07 00:00:01.61 HA      900_226000080333 A1    9    37
D 2016-03-18 11:15:36.30 00:00:00.00 HA      900_226000080333 A1    1     7
D 2016-03-18 11:15:36.90 23:59:59.21 HA      900_226000080333 A1    2     2
D 2016-03-18 11:15:37.51 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 11:15:37.91 00:00:02.02 HA      900_226000080333 A1   11     1
D 2016-03-18 11:16:26.34 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2016-03-18 11:19:21.62 00:00:00.00 HR 0000_0000000180843403 A1    1  1100
D 2016-03-18 11:31:24.37 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2016-03-18 11:34:16.83 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-03-18 11:46:22.79 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2016-03-18 11:49:11.81 00:00:00.21 HR 0000_0000000180843403 A1    2  4444
D 2016-03-18 12:01:20.56 00:00:00.20 HR 0000_0000000180573731 A3    2  4458
D 2016-03-18 12:04:06.95 00:00:00.21 HR 0000_0000000180843403 A1    2  4444
D 2016-03-18 12:16:18.55 00:00:00.21 HR 0000_0000000180573731 A3    2  4458
D 2016-03-18 12:19:02.16 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-03-18 12:31:16.36 00:00:00.20 HR 0000_0000000180573731 A3    2  4457
D 2016-03-18 12:33:57.16 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-03-18 12:46:14.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2016-03-18 12:48:52.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
E 2016-03-18 12:50:00.01 11.7V 0.20A 0.95A 0.00A 0.84A 0.00A  1N  0N  1N  
D 2016-03-18 13:01:12.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-03-18 13:03:47.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-03-18 13:16:09.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-03-18 13:18:42.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-03-18 13:31:07.29 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-03-18 13:33:36.98 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-18 13:46:04.92 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-03-18 13:48:31.79 00:00:00.21 HR 0000_0000000180843403 A1    2  4443
D 2016-03-18 14:01:02.34 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-03-18 14:03:26.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-03-18 14:15:59.95 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-03-18 14:18:21.41 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
