up
Upload #34
Reader: Noname  Site: AA
--------- upload 34 start ---------
E 2016-05-27 10:15:44.99 upload 33 complete
E 2016-05-27 10:17:51.55 supply power ok 11.7V
E 2016-05-27 10:17:51.55 database file opened
E 2016-05-27 10:17:51.55 starting reader after power up
D 2016-05-27 10:18:04.92 00:00:00.00 HR 0000_0000000180843403 A1    1    47
D 2016-05-27 10:18:19.83 00:00:00.00 HA      900_226000080333 A1    1    71
D 2016-05-27 10:18:23.46 00:00:00.00 HA      900_226000080333 A1    1    17
D 2016-05-27 10:18:38.58 00:00:00.61 HA      900_226000080333 A1    4    74
D 2016-05-27 10:18:48.85 00:00:00.41 HR 0000_0000000181177678 A1    3    47
D 2016-05-27 10:19:11.31 00:00:00.00 HA      900_226000080322 A3    1   375
D 2016-05-27 10:19:19.97 00:00:01.21 HA      900_226000080322 A3    7    42
D 2016-05-27 10:19:27.23 00:00:00.40 HA      900_226000080322 A3    3    29
D 2016-05-27 10:19:29.04 00:00:01.01 HA      900_226000080322 A3    6     6
D 2016-05-27 10:19:32.87 00:00:00.41 HA      900_226000080322 A3    3    13
D 2016-05-27 10:27:05.26 00:00:00.00 HR 0000_0000000180573731 A3    1  2244
D 2016-05-27 10:32:59.08 00:00:00.20 HR 0000_0000000180843403 A1    2  4220
D 2016-05-27 10:42:06.96 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-05-27 10:47:53.35 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-05-27 10:57:08.51 00:00:00.00 HR 0000_0000000180573731 A3    1  4477
D 2016-05-27 11:02:47.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-27 11:12:10.45 00:00:00.00 HR 0000_0000000180573731 A3    1  4479
D 2016-05-27 11:17:42.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-27 11:27:12.59 00:00:00.20 HR 0000_0000000180573731 A3    2  4480
D 2016-05-27 11:32:36.40 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-27 11:42:14.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4479
